timestamp,episode,step,reward,score,epsilon
"2019-08-25 11:13:20,154",1,332,14.3,43,0.099666
"2019-08-25 11:13:24,824",2,495,14.7,43,0.099502
"2019-08-25 11:13:31,564",3,726,20.9,62,0.099271
"2019-08-25 11:13:36,243",4,895,15.3,43,0.099101
"2019-08-25 11:13:41,003",5,1067,15.4,43,0.098928
"2019-08-25 11:13:45,703",6,1234,15.2,43,0.098760
"2019-08-25 11:13:50,416",7,1388,13.7,43,0.098605
"2019-08-25 11:13:55,099",8,1542,13.4,43,0.098451
"2019-08-25 11:14:01,062",9,1739,17.3,55,0.098253
"2019-08-25 11:14:07,101",10,1942,17.8,56,0.098049
"2019-08-25 11:14:11,789",11,2102,14.0,43,0.097888
"2019-08-25 11:14:18,852",12,2342,20.9,65,0.097647
"2019-08-25 11:14:24,663",13,2550,18.8,53,0.097439
"2019-08-25 11:14:30,989",14,2773,19.3,58,0.097215
"2019-08-25 11:14:35,716",15,2944,15.2,43,0.097043
"2019-08-25 11:14:43,733",16,3217,23.5,75,0.096769
"2019-08-25 11:14:53,314",17,3552,30.1,90,0.096434
"2019-08-25 11:15:02,016",18,3850,26.2,81,0.096135
"2019-08-25 11:15:09,494",19,4113,23.5,69,0.095871
"2019-08-25 11:15:15,208",20,4315,17.3,53,0.095668
"2019-08-25 11:15:21,065",21,4523,18.3,54,0.095460
"2019-08-25 11:15:25,777",22,4692,15.1,43,0.095290
"2019-08-25 11:15:31,435",23,4892,17.1,52,0.095089
"2019-08-25 11:15:36,128",24,5062,15.2,43,0.094918
"2019-08-25 11:15:43,357",25,5321,22.9,67,0.094658
"2019-08-25 11:15:48,052",26,5491,15.4,43,0.094488
"2019-08-25 11:15:54,799",27,5728,20.5,62,0.094250
"2019-08-25 11:16:03,998",28,6051,27.8,86,0.093926
"2019-08-25 11:16:09,547",29,6248,17.2,51,0.093728
"2019-08-25 11:16:15,233",30,6453,18.4,52,0.093522
"2019-08-25 11:16:26,862",31,6853,34.2,110,0.093122
"2019-08-25 11:16:31,639",32,7019,13.8,44,0.092955
"2019-08-25 11:16:36,371",33,7191,15.4,43,0.092782
"2019-08-25 11:16:42,401",34,7408,19.3,55,0.092564
"2019-08-25 11:16:48,207",35,7615,18.0,53,0.092357
"2019-08-25 11:16:53,036",36,7785,14.8,44,0.092186
"2019-08-25 11:16:59,412",37,8008,19.2,59,0.091962
"2019-08-25 11:17:06,217",38,8250,21.2,63,0.091719
"2019-08-25 11:17:10,942",39,8421,15.2,43,0.091547
"2019-08-25 11:17:16,689",40,8629,18.6,53,0.091339
"2019-08-25 11:17:21,490",41,8803,16.0,44,0.091164
"2019-08-25 11:17:26,222",42,8970,14.5,43,0.090996
"2019-08-25 11:17:34,511",43,9256,23.7,77,0.090709
"2019-08-25 11:17:39,272",44,9427,15.0,43,0.090537
"2019-08-25 11:17:44,074",45,9601,15.6,44,0.090363
"2019-08-25 11:17:49,940",46,9807,17.9,54,0.090156
"2019-08-25 11:17:54,655",47,9972,14.0,43,0.089990
"2019-08-25 11:18:07,083",48,10415,39.8,118,0.089546
"2019-08-25 11:18:11,869",49,10587,15.0,44,0.089374
"2019-08-25 11:18:16,621",50,10758,15.0,43,0.089202
"2019-08-25 11:18:26,962",51,11113,30.2,97,0.088846
"2019-08-25 11:18:34,731",52,11390,24.4,72,0.088568
"2019-08-25 11:18:45,017",53,11759,33.2,97,0.088199
"2019-08-25 11:18:53,028",54,12050,26.6,75,0.087907
"2019-08-25 11:18:59,359",55,12275,19.7,58,0.087681
"2019-08-25 11:19:18,199",56,12925,57.6,185,0.087031
"2019-08-25 11:19:26,260",57,13187,22.0,75,0.086768
"2019-08-25 11:19:36,337",58,13529,30.6,95,0.086426
"2019-08-25 11:19:41,001",59,13698,15.1,43,0.086256
"2019-08-25 11:19:48,017",60,13947,21.8,65,0.086006
"2019-08-25 11:19:52,750",61,14115,14.8,43,0.085837
"2019-08-25 11:20:02,914",62,14477,32.4,96,0.085475
"2019-08-25 11:20:11,055",63,14766,25.4,76,0.085185
"2019-08-25 11:20:16,598",64,14971,19.1,51,0.084979
"2019-08-25 11:20:22,197",65,15171,17.6,51,0.084778
"2019-08-25 11:20:44,562",66,15958,70.5,223,0.083991
"2019-08-25 11:20:53,414",67,16274,28.2,83,0.083674
"2019-08-25 11:21:06,376",68,16734,41.1,124,0.083214
"2019-08-25 11:21:12,912",69,16964,19.9,60,0.082983
