timestamp,episode,step,reward,score,epsilon
"2019-08-14 22:01:36,859",1,206,6.2,60,0.099792
"2019-08-14 22:01:45,460",2,479,24.3,80,0.099518
"2019-08-14 22:01:50,174",3,629,12.7,43,0.099368
"2019-08-14 22:01:54,852",4,780,13.1,43,0.099216
"2019-08-14 22:02:00,509",5,964,16.3,52,0.099031
"2019-08-14 22:02:05,221",6,1114,12.8,43,0.098880
"2019-08-14 22:02:11,596",7,1320,18.4,58,0.098673
"2019-08-14 22:02:16,304",8,1470,12.9,43,0.098522
"2019-08-14 22:02:21,014",9,1622,13.5,43,0.098370
"2019-08-14 22:02:26,585",10,1802,15.8,51,0.098189
"2019-08-14 22:02:31,340",11,1951,12.4,43,0.098039
"2019-08-14 22:02:36,018",12,2104,13.5,43,0.097885
"2019-08-14 22:02:40,721",13,2256,13.3,43,0.097732
"2019-08-14 22:02:46,423",14,2437,15.5,52,0.097550
"2019-08-14 22:02:51,148",15,2589,13.2,43,0.097398
"2019-08-14 22:03:02,121",16,2941,31.5,104,0.097045
"2019-08-14 22:03:07,722",17,3123,16.1,51,0.096862
"2019-08-14 22:03:13,376",18,3304,15.8,52,0.096680
"2019-08-14 22:03:19,279",19,3492,16.1,54,0.096492
"2019-08-14 22:03:27,087",20,3749,23.7,73,0.096234
"2019-08-14 22:03:31,825",21,3899,12.7,43,0.096083
"2019-08-14 22:03:37,612",22,4087,16.6,53,0.095894
"2019-08-14 22:03:42,378",23,4240,13.2,43,0.095740
"2019-08-14 22:03:50,322",24,4497,22.7,74,0.095483
"2019-08-14 22:03:57,755",25,4738,21.4,69,0.095241
"2019-08-14 22:04:06,525",26,5016,24.3,82,0.094962
"2019-08-14 22:04:13,986",27,5253,20.8,69,0.094724
"2019-08-14 22:04:19,343",28,5420,14.5,49,0.094556
"2019-08-14 22:04:25,997",29,5624,17.8,61,0.094352
"2019-08-14 22:04:39,730",30,6055,39.5,132,0.093920
"2019-08-14 22:04:44,483",31,6203,13.0,43,0.093771
"2019-08-14 22:04:49,234",32,6351,12.4,43,0.093622
"2019-08-14 22:04:55,230",33,6537,16.2,55,0.093436
"2019-08-14 22:04:59,978",34,6690,13.6,43,0.093282
"2019-08-14 22:05:12,962",35,7080,34.9,124,0.092891
"2019-08-14 22:05:24,985",36,7463,34.7,114,0.092507
"2019-08-14 22:05:33,383",37,7724,22.5,78,0.092246
"2019-08-14 22:05:38,047",38,7875,13.4,43,0.092094
"2019-08-14 22:05:54,406",39,8397,47.1,159,0.091571
"2019-08-14 22:05:59,146",40,8550,13.4,43,0.091418
"2019-08-14 22:06:03,956",41,8699,13.3,43,0.091268
"2019-08-14 22:06:08,697",42,8848,12.9,43,0.091118
"2019-08-14 22:06:19,138",43,9181,29.4,98,0.090784
"2019-08-14 22:06:24,746",44,9357,15.0,51,0.090607
"2019-08-14 22:06:34,379",45,9667,28.7,90,0.090297
"2019-08-14 22:06:43,551",46,9956,25.2,86,0.090007
"2019-08-14 22:06:48,350",47,10113,14.3,44,0.089849
"2019-08-14 22:07:07,807",48,10739,57.0,191,0.089223
"2019-08-14 22:07:15,800",49,10994,22.5,74,0.088967
"2019-08-14 22:07:30,271",50,11464,43.3,139,0.088497
"2019-08-14 22:07:39,571",51,11760,26.4,87,0.088200
"2019-08-14 22:07:49,045",52,12069,28.3,89,0.087890
"2019-08-14 22:08:06,049",53,12619,50.4,165,0.087340
"2019-08-14 22:08:15,164",54,12908,25.4,85,0.087050
"2019-08-14 22:08:21,994",55,13129,19.9,63,0.086828
"2019-08-14 22:08:28,891",56,13350,19.7,64,0.086606
"2019-08-14 22:08:35,699",57,13571,20.0,63,0.086385
"2019-08-14 22:08:40,521",58,13727,13.7,44,0.086228
"2019-08-14 22:08:48,341",59,13979,22.4,73,0.085975
