timestamp,episode,step,reward,score,epsilon
"2019-08-23 22:11:08,584",1,194,6.4,49,0.099804
"2019-08-23 22:11:13,269",2,382,17.2,43,0.099615
"2019-08-23 22:11:19,267",3,613,20.7,55,0.099384
"2019-08-23 22:11:24,075",4,800,16.4,44,0.099196
"2019-08-23 22:11:28,740",5,985,16.4,42,0.099010
"2019-08-23 22:11:34,702",6,1214,20.2,54,0.098780
"2019-08-23 22:11:39,448",7,1401,16.5,43,0.098592
"2019-08-23 22:11:49,455",8,1796,35.8,94,0.098197
"2019-08-23 22:11:54,162",9,1985,17.3,43,0.098007
"2019-08-23 22:11:58,867",10,2171,16.7,43,0.097820
"2019-08-23 22:12:03,687",11,2351,15.9,43,0.097639
"2019-08-23 22:12:08,349",12,2537,16.6,43,0.097453
"2019-08-23 22:12:13,061",13,2722,16.5,43,0.097267
"2019-08-23 22:12:20,246",14,3001,24.7,66,0.096987
"2019-08-23 22:12:24,905",15,3185,16.3,43,0.096802
"2019-08-23 22:12:29,755",16,3374,17.2,44,0.096612
"2019-08-23 22:12:34,442",17,3556,16.2,43,0.096430
"2019-08-23 22:12:40,007",18,3773,19.2,51,0.096212
"2019-08-23 22:12:45,691",19,3996,19.6,52,0.095988
"2019-08-23 22:12:51,325",20,4218,19.7,52,0.095765
"2019-08-23 22:12:58,489",21,4495,25.6,65,0.095488
"2019-08-23 22:13:06,481",22,4803,26.8,74,0.095179
"2019-08-23 22:13:11,202",23,4985,15.8,43,0.094996
"2019-08-23 22:13:15,891",24,5167,15.8,43,0.094813
"2019-08-23 22:13:20,591",25,5352,16.6,43,0.094627
"2019-08-23 22:13:28,702",26,5656,27.5,73,0.094323
"2019-08-23 22:13:34,486",27,5886,21.0,53,0.094092
"2019-08-23 22:13:39,142",28,6073,16.9,43,0.093904
"2019-08-23 22:13:45,787",29,6334,23.1,61,0.093642
"2019-08-23 22:13:50,494",30,6520,16.5,43,0.093456
"2019-08-23 22:13:55,208",31,6703,16.4,43,0.093272
"2019-08-23 22:14:04,777",32,7076,33.7,90,0.092898
"2019-08-23 22:14:09,518",33,7263,16.5,43,0.092710
"2019-08-23 22:14:21,535",34,7733,42.9,114,0.092240
"2019-08-23 22:14:26,195",35,7921,17.1,43,0.092051
"2019-08-23 22:14:31,964",36,8146,20.0,53,0.091825
"2019-08-23 22:14:38,098",37,8388,21.9,57,0.091582
"2019-08-23 22:14:43,824",38,8612,20.1,53,0.091358
"2019-08-23 22:14:51,713",39,8918,27.1,73,0.091051
"2019-08-23 22:15:09,394",40,9615,63.8,173,0.090354
"2019-08-23 22:15:15,093",41,9831,18.7,52,0.090137
"2019-08-23 22:15:19,912",42,10021,17.1,44,0.089946
"2019-08-23 22:15:36,889",43,10682,60.4,165,0.089285
"2019-08-23 22:15:52,443",44,11289,54.9,150,0.088677
"2019-08-23 22:15:57,983",45,11513,20.8,51,0.088453
"2019-08-23 22:16:02,905",46,11696,16.3,43,0.088269
"2019-08-23 22:16:08,944",47,11927,20.2,56,0.088037
"2019-08-23 22:16:15,355",48,12178,22.5,59,0.087785
"2019-08-23 22:16:33,370",49,12883,63.9,176,0.087080
"2019-08-23 22:16:45,418",50,13357,43.1,114,0.086605
"2019-08-23 22:16:56,959",51,13796,39.7,108,0.086166
"2019-08-23 22:17:11,513",52,14367,52.5,140,0.085594
"2019-08-23 22:17:22,223",53,14780,36.3,101,0.085181
"2019-08-23 22:17:29,207",54,15057,25.2,65,0.084903
"2019-08-23 22:17:33,898",55,15244,16.8,43,0.084715
"2019-08-23 22:17:38,783",56,15425,15.9,43,0.084533
"2019-08-23 22:17:43,502",57,15610,16.5,43,0.084348
"2019-08-23 22:17:48,256",58,15798,17.0,43,0.084159
"2019-08-23 22:18:04,204",59,16406,54.0,154,0.083550
"2019-08-23 22:18:10,431",60,16651,22.2,57,0.083305
"2019-08-23 22:18:15,165",61,16832,16.3,43,0.083123
"2019-08-23 22:18:22,316",62,17106,24.1,66,0.082848
"2019-08-23 22:18:27,064",63,17290,16.3,43,0.082663
"2019-08-23 22:18:33,935",64,17559,24.4,64,0.082394
"2019-08-23 22:18:38,667",65,17744,16.5,43,0.082208
"2019-08-23 22:18:45,334",66,18004,23.9,61,0.081947
"2019-08-23 22:18:50,084",67,18196,17.6,43,0.081754
"2019-08-23 22:19:07,305",68,18869,61.8,168,0.081081
"2019-08-23 22:19:12,079",69,19059,17.3,44,0.080890
"2019-08-23 22:19:20,650",70,19399,31.2,80,0.080549
"2019-08-23 22:19:36,962",71,20018,54.8,158,0.079930
"2019-08-23 22:19:41,675",72,20201,16.7,43,0.079746
"2019-08-23 22:19:49,800",73,20524,29.9,76,0.079423
"2019-08-23 22:20:00,757",74,20955,39.2,104,0.078991
"2019-08-23 22:20:07,859",75,21237,25.6,66,0.078708
"2019-08-23 22:20:25,985",76,21938,64.7,176,0.078007
"2019-08-23 22:20:30,678",77,22124,16.6,43,0.077820
"2019-08-23 22:20:35,427",78,22309,16.0,43,0.077634
"2019-08-23 22:20:46,417",79,22735,37.9,104,0.077208
"2019-08-23 22:20:51,184",80,22923,16.7,43,0.077019
"2019-08-23 22:21:01,140",81,23290,32.6,91,0.076651
