timestamp,episode,step,reward,score,epsilon
"2019-08-13 10:42:29,380",1,227,8.6,44,0.099771
"2019-08-13 10:42:34,048",2,385,13.0,43,0.099612
"2019-08-13 10:42:38,742",3,549,14.5,43,0.099448
"2019-08-13 10:42:45,870",4,800,22.7,66,0.099196
"2019-08-13 10:42:50,549",5,953,13.0,43,0.099042
"2019-08-13 10:42:55,273",6,1116,14.3,43,0.098878
"2019-08-13 10:43:02,389",7,1361,21.3,66,0.098632
"2019-08-13 10:43:07,179",8,1528,14.6,44,0.098465
"2019-08-13 10:43:11,875",9,1692,14.4,43,0.098300
"2019-08-13 10:43:16,576",10,1857,14.5,43,0.098134
"2019-08-13 10:43:21,991",11,2047,17.1,49,0.097943
"2019-08-13 10:43:26,692",12,2210,14.1,43,0.097779
"2019-08-13 10:43:34,384",13,2478,23.4,71,0.097510
"2019-08-13 10:43:40,116",14,2683,18.6,53,0.097305
"2019-08-13 10:43:44,782",15,2850,15.0,43,0.097137
"2019-08-13 10:43:49,539",16,3015,14.2,43,0.096971
"2019-08-13 10:43:54,212",17,3182,15.2,43,0.096803
"2019-08-13 10:43:58,919",18,3352,15.5,43,0.096632
"2019-08-13 10:44:03,635",19,3515,13.8,43,0.096469
"2019-08-13 10:44:10,131",20,3748,21.4,60,0.096235
"2019-08-13 10:44:16,206",21,3960,18.6,56,0.096022
"2019-08-13 10:44:22,635",22,4184,20.0,59,0.095797
"2019-08-13 10:44:28,069",23,4377,17.4,50,0.095603
"2019-08-13 10:44:34,671",24,4606,20.0,61,0.095374
"2019-08-13 10:44:39,382",25,4771,14.6,43,0.095208
"2019-08-13 10:44:44,089",26,4937,14.9,43,0.095041
"2019-08-13 10:44:51,146",27,5186,22.5,65,0.094791
"2019-08-13 10:45:05,482",28,5698,47.8,138,0.094279
"2019-08-13 10:45:10,160",29,5866,15.1,43,0.094110
"2019-08-13 10:45:14,853",30,6029,13.8,43,0.093946
"2019-08-13 10:45:21,167",31,6249,19.5,58,0.093725
"2019-08-13 10:45:28,808",32,6517,24.1,71,0.093457
"2019-08-13 10:45:33,502",33,6684,14.8,43,0.093289
"2019-08-13 10:45:38,193",34,6853,15.3,43,0.093119
"2019-08-13 10:45:54,813",35,7447,55.6,162,0.092524
"2019-08-13 10:45:59,576",36,7615,15.1,43,0.092356
"2019-08-13 10:46:04,277",37,7781,14.8,43,0.092189
"2019-08-13 10:46:12,774",38,8076,25.9,79,0.091893
"2019-08-13 10:46:19,987",39,8312,20.3,67,0.091656
"2019-08-13 10:46:26,138",40,8528,19.7,57,0.091440
"2019-08-13 10:46:30,959",41,8698,15.5,44,0.091269
"2019-08-13 10:46:39,130",42,8985,25.9,76,0.090981
"2019-08-13 10:46:44,900",43,9188,17.9,53,0.090777
"2019-08-13 10:46:58,886",44,9679,44.7,134,0.090286
"2019-08-13 10:47:08,206",45,10013,30.7,87,0.089951
"2019-08-13 10:47:17,950",46,10344,28.7,91,0.089619
"2019-08-13 10:47:27,023",47,10666,29.4,85,0.089297
"2019-08-13 10:47:45,439",48,11318,59.8,181,0.088644
"2019-08-13 10:47:59,950",49,11826,45.8,140,0.088136
"2019-08-13 10:48:06,497",50,12058,20.7,60,0.087903
"2019-08-13 10:48:13,680",51,12308,22.6,66,0.087652
"2019-08-13 10:48:36,251",52,13103,73.1,225,0.086857
"2019-08-13 10:48:48,508",53,13535,39.3,117,0.086425
"2019-08-13 10:48:54,336",54,13737,17.4,53,0.086222
"2019-08-13 10:49:00,758",55,13964,20.4,59,0.085994
"2019-08-13 10:49:05,430",56,14123,13.4,43,0.085834
"2019-08-13 10:49:12,056",57,14358,21.5,61,0.085598
"2019-08-13 10:49:21,984",58,14710,32.3,93,0.085246
"2019-08-13 10:49:26,662",59,14875,14.6,43,0.085080
"2019-08-13 10:49:33,852",60,15128,23.1,67,0.084826
"2019-08-13 10:49:40,520",61,15361,21.1,61,0.084592
"2019-08-13 10:49:46,280",62,15563,18.0,53,0.084390
"2019-08-13 10:49:51,074",63,15735,15.6,44,0.084217
"2019-08-13 10:49:56,871",64,15928,17.4,53,0.084023
"2019-08-13 10:50:01,578",65,16083,13.7,43,0.083867
"2019-08-13 10:50:13,083",66,16463,34.3,109,0.083487
"2019-08-13 10:50:24,425",67,16862,36.1,107,0.083087
"2019-08-13 10:50:31,959",68,17129,24.1,70,0.082819
"2019-08-13 10:50:36,708",69,17294,14.1,43,0.082653
"2019-08-13 10:50:41,398",70,17459,14.6,43,0.082488
"2019-08-13 10:50:50,980",71,17789,29.2,90,0.082157
"2019-08-13 10:50:56,546",72,17985,17.2,51,0.081960
"2019-08-13 10:51:01,362",73,18154,14.7,44,0.081790
"2019-08-13 10:51:19,732",74,18801,59.9,180,0.081143
"2019-08-13 10:51:24,445",75,18968,15.1,43,0.080975
"2019-08-13 10:51:29,922",76,19157,16.8,50,0.080785
"2019-08-13 10:51:40,035",77,19515,33.1,95,0.080427
"2019-08-13 10:51:44,764",78,19684,15.3,43,0.080257
"2019-08-13 10:51:51,623",79,19925,21.6,63,0.080015
"2019-08-13 10:52:04,590",80,20351,37.6,124,0.079588
"2019-08-13 10:52:11,087",81,20565,18.9,60,0.079374
"2019-08-13 10:52:20,854",82,20889,29.7,92,0.079049
"2019-08-13 10:52:25,534",83,21044,13.6,43,0.078893
"2019-08-13 10:52:31,377",84,21241,17.2,54,0.078695
"2019-08-13 10:52:36,178",85,21410,14.7,44,0.078525
"2019-08-13 10:52:40,941",86,21574,14.1,43,0.078361
"2019-08-13 10:52:45,716",87,21740,14.8,43,0.078194
"2019-08-13 10:52:51,584",88,21946,18.5,54,0.077987
"2019-08-13 10:52:59,010",89,22208,23.6,69,0.077724
"2019-08-13 10:53:13,038",90,22698,44.2,134,0.077234
"2019-08-13 10:53:20,602",91,22962,23.8,70,0.076969
