timestamp,episode,reward,score,epsilon
"2019-08-28 02:10:14,941",0,-0.8,47,0.099933
"2019-08-28 02:10:21,833",1,-0.3,53,0.099866
"2019-08-28 02:10:27,281",2,-0.4,43,0.099859
"2019-08-28 02:10:33,303",3,-0.3,43,0.099851
"2019-08-28 02:10:39,215",4,-0.3,43,0.099843
"2019-08-28 02:10:45,148",5,-0.3,43,0.099835
"2019-08-28 02:10:51,215",6,-0.3,43,0.099827
"2019-08-28 02:10:56,710",7,-0.9,43,0.099820
"2019-08-28 02:11:02,293",8,-1.0,43,0.099813
"2019-08-28 02:11:10,650",9,-0.9,69,0.099802
"2019-08-28 02:11:18,322",10,-1.0,62,0.099792
"2019-08-28 02:11:24,387",11,-0.4,43,0.099784
"2019-08-28 02:11:29,761",12,-0.4,43,0.099777
"2019-08-28 02:11:35,164",13,-0.4,43,0.099770
"2019-08-28 02:11:41,405",14,-0.5,43,0.099762
"2019-08-28 02:11:47,467",15,-0.3,43,0.099754
"2019-08-28 02:11:53,539",16,-0.3,43,0.099746
"2019-08-28 02:11:59,631",17,-0.3,43,0.099738
"2019-08-28 02:12:05,730",18,-0.3,43,0.099730
"2019-08-28 02:12:13,209",19,-0.2,56,0.099720
"2019-08-28 02:12:20,824",20,-0.9,60,0.099710
"2019-08-28 02:12:26,950",21,-0.7,43,0.099702
"2019-08-28 02:12:32,332",22,-0.5,43,0.099695
"2019-08-28 02:12:38,393",23,-0.3,43,0.099687
"2019-08-28 02:12:45,267",24,-0.3,53,0.099678
"2019-08-28 02:12:50,662",25,-0.5,43,0.099671
"2019-08-28 02:12:56,055",26,-0.4,43,0.099664
"2019-08-28 02:13:01,594",27,-0.5,43,0.099657
"2019-08-28 02:13:07,659",28,-0.3,43,0.099649
"2019-08-28 02:13:13,690",29,-0.3,43,0.099641
"2019-08-28 02:13:21,206",30,-0.3,56,0.099631
"2019-08-28 02:13:27,331",31,-0.3,43,0.099623
"2019-08-28 02:13:32,743",32,-0.4,43,0.099616
"2019-08-28 02:13:38,842",33,-0.3,43,0.099608
"2019-08-28 02:13:44,738",34,-0.3,43,0.099600
"2019-08-28 02:13:50,753",35,-0.3,43,0.099592
"2019-08-28 02:13:57,005",36,-0.3,43,0.099584
"2019-08-28 02:14:02,539",37,-0.4,43,0.099577
"2019-08-28 02:14:08,579",38,-0.4,43,0.099569
"2019-08-28 02:14:14,573",39,-0.3,43,0.099561
"2019-08-28 02:14:21,303",40,-0.3,53,0.099552
"2019-08-28 02:14:29,810",41,-0.4,71,0.099541
"2019-08-28 02:14:35,954",42,-0.3,43,0.099533
"2019-08-28 02:14:42,073",43,-0.3,43,0.099525
"2019-08-28 02:14:47,481",44,-0.4,43,0.099518
"2019-08-28 02:14:53,492",45,-0.3,43,0.099510
"2019-08-28 02:15:00,573",46,-0.4,57,0.099501
"2019-08-28 02:15:06,707",47,-0.3,43,0.099494
"2019-08-28 02:15:13,459",48,-0.4,54,0.099485
"2019-08-28 02:15:21,730",49,-0.3,64,0.099474
"2019-08-28 02:15:28,581",50,-0.5,54,0.099465
"2019-08-28 02:15:34,000",51,-0.5,43,0.099458
"2019-08-28 02:15:39,478",52,-0.5,43,0.099451
"2019-08-28 02:15:44,880",53,-0.4,43,0.099444
"2019-08-28 02:15:50,347",54,-0.4,43,0.099437
"2019-08-28 02:15:56,450",55,-0.3,43,0.099429
"2019-08-28 02:16:01,895",56,-0.4,43,0.099422
"2019-08-28 02:16:07,392",57,-0.4,43,0.099415
"2019-08-28 02:16:13,441",58,-0.3,43,0.099407
"2019-08-28 02:16:18,831",59,-0.4,43,0.099400
"2019-08-28 02:16:24,905",60,-0.3,43,0.099392
"2019-08-28 02:16:30,388",61,-0.4,43,0.099385
"2019-08-28 02:16:35,972",62,-0.4,43,0.099378
"2019-08-28 02:16:41,406",63,-0.5,43,0.099371
"2019-08-28 02:16:52,844",64,0.1,43,0.099356
"2019-08-28 02:16:58,972",65,-0.4,49,0.099348
"2019-08-28 02:17:04,388",66,-0.5,43,0.099341
"2019-08-28 02:17:09,798",67,-0.4,43,0.099334
"2019-08-28 02:17:16,652",68,-0.5,50,0.099325
"2019-08-28 02:17:22,573",69,-0.3,43,0.099317
"2019-08-28 02:17:28,481",70,-0.3,43,0.099309
"2019-08-28 02:17:35,441",71,-0.3,53,0.099300
"2019-08-28 02:17:40,858",72,-0.4,43,0.099293
"2019-08-28 02:17:47,807",73,-0.3,56,0.099284
"2019-08-28 02:17:53,752",74,-0.4,43,0.099276
"2019-08-28 02:18:01,260",75,-0.2,57,0.099266
"2019-08-28 02:18:12,134",76,0.1,43,0.099252
