timestamp,episode,reward,score,epsilon
"2019-08-29 01:03:33,462",0,1.4,67,0.099871
"2019-08-29 01:03:39,477",1,-0.4,43,0.099863
"2019-08-29 01:03:44,875",2,-0.4,43,0.099856
"2019-08-29 01:03:50,905",3,-0.3,43,0.099848
"2019-08-29 01:03:56,982",4,-0.3,43,0.099840
"2019-08-29 01:04:02,929",5,-0.3,43,0.099832
"2019-08-29 01:04:09,116",6,-0.3,43,0.099824
"2019-08-29 01:04:15,198",7,-0.3,43,0.099816
"2019-08-29 01:04:21,280",8,-0.3,43,0.099808
"2019-08-29 01:04:26,703",9,-0.4,43,0.099801
"2019-08-29 01:04:32,710",10,-0.3,43,0.099793
"2019-08-29 01:04:40,403",11,-0.4,61,0.099783
"2019-08-29 01:04:47,144",12,-0.4,53,0.099774
"2019-08-29 01:04:53,283",13,-0.8,49,0.099766
"2019-08-29 01:05:00,111",14,-0.6,56,0.099757
"2019-08-29 01:05:08,332",15,-0.3,65,0.099746
"2019-08-29 01:05:15,170",16,-0.4,53,0.099737
"2019-08-29 01:05:22,033",17,-0.4,56,0.099728
"2019-08-29 01:05:28,836",18,-0.5,54,0.099719
"2019-08-29 01:05:34,761",19,-0.3,43,0.099711
"2019-08-29 01:05:42,261",20,-0.4,56,0.099701
"2019-08-29 01:05:49,132",21,-0.5,56,0.099692
"2019-08-29 01:05:55,924",22,-0.4,53,0.099683
"2019-08-29 01:06:01,342",23,-0.5,43,0.099676
"2019-08-29 01:06:09,663",24,-0.4,68,0.099665
"2019-08-29 01:06:16,547",25,-0.4,51,0.099656
"2019-08-29 01:06:24,221",26,-0.4,61,0.099646
"2019-08-29 01:06:33,262",27,-0.2,73,0.099634
"2019-08-29 01:06:41,545",28,-0.4,69,0.099623
"2019-08-29 01:06:49,113",29,-0.3,61,0.099613
"2019-08-29 01:06:55,822",30,-0.3,51,0.099604
"2019-08-29 01:07:03,523",31,-0.3,62,0.099594
"2019-08-29 01:07:09,623",32,-0.3,43,0.099586
"2019-08-29 01:07:20,951",33,-0.3,98,0.099571
"2019-08-29 01:07:26,971",34,-0.3,43,0.099563
"2019-08-29 01:07:35,181",35,-0.2,67,0.099552
"2019-08-29 01:07:42,873",36,-0.3,61,0.099542
"2019-08-29 01:07:50,400",37,-0.3,61,0.099532
"2019-08-29 01:07:57,093",38,-0.4,50,0.099523
"2019-08-29 01:08:03,929",39,-0.4,53,0.099514
"2019-08-29 01:08:09,412",40,-0.4,43,0.099507
"2019-08-29 01:08:15,008",41,-0.5,43,0.099500
"2019-08-29 01:08:23,510",42,-0.3,67,0.099490
"2019-08-29 01:08:31,077",43,-0.4,60,0.099480
"2019-08-29 01:08:37,829",44,-0.5,54,0.099471
