timestamp,episode,step,reward,score,epsilon
"2019-08-26 09:30:33,842",1,312,13.9,43,0.099686
"2019-08-26 09:30:38,527",2,468,13.6,43,0.099529
"2019-08-26 09:30:44,298",3,654,16.0,53,0.099343
"2019-08-26 09:30:48,954",4,806,13.4,42,0.099190
"2019-08-26 09:30:53,664",5,958,12.9,43,0.099037
"2019-08-26 09:30:58,374",6,1113,13.2,42,0.098881
"2019-08-26 09:31:03,010",7,1267,13.2,42,0.098726
"2019-08-26 09:31:07,650",8,1424,13.8,42,0.098568
"2019-08-26 09:31:12,337",9,1584,14.3,42,0.098408
"2019-08-26 09:31:17,631",10,1765,16.3,48,0.098226
"2019-08-26 09:31:22,428",11,1922,13.9,42,0.098068
"2019-08-26 09:31:27,085",12,2083,14.6,42,0.097906
"2019-08-26 09:31:31,749",13,2241,13.9,42,0.097747
"2019-08-26 09:31:37,428",14,2431,16.4,52,0.097556
"2019-08-26 09:31:44,032",15,2653,19.5,61,0.097334
"2019-08-26 09:31:49,656",16,2840,16.3,51,0.097146
"2019-08-26 09:31:55,257",17,3026,16.3,51,0.096959
"2019-08-26 09:31:59,909",18,3187,14.8,42,0.096797
"2019-08-26 09:32:04,683",19,3344,13.3,43,0.096639
"2019-08-26 09:32:09,414",20,3503,14.1,43,0.096480
"2019-08-26 09:32:14,287",21,3662,14.0,43,0.096320
"2019-08-26 09:32:18,929",22,3819,14.1,42,0.096162
"2019-08-26 09:32:23,644",23,3978,13.8,43,0.096002
"2019-08-26 09:32:32,398",24,4269,25.6,82,0.095710
"2019-08-26 09:32:37,031",25,4425,13.6,42,0.095553
"2019-08-26 09:32:41,743",26,4584,14.0,43,0.095394
"2019-08-26 09:32:46,486",27,4745,14.5,43,0.095232
"2019-08-26 09:32:52,412",28,4943,17.4,54,0.095033
"2019-08-26 09:32:57,138",29,5104,14.4,43,0.094871
"2019-08-26 09:33:01,829",30,5259,13.2,43,0.094715
"2019-08-26 09:33:07,439",31,5444,16.5,50,0.094529
"2019-08-26 09:33:12,804",32,5627,16.4,49,0.094346
"2019-08-26 09:33:17,481",33,5786,13.9,42,0.094186
"2019-08-26 09:33:22,135",34,5941,13.3,42,0.094030
"2019-08-26 09:33:26,815",35,6102,14.5,43,0.093868
"2019-08-26 09:33:31,473",36,6258,13.8,42,0.093711
"2019-08-26 09:33:38,766",37,6506,22.2,67,0.093463
"2019-08-26 09:33:43,616",38,6669,14.3,44,0.093299
"2019-08-26 09:33:48,267",39,6827,14.1,42,0.093140
"2019-08-26 09:33:52,898",40,6982,13.5,42,0.092984
"2019-08-26 09:34:00,090",41,7214,19.5,67,0.092751
"2019-08-26 09:34:05,855",42,7408,17.1,53,0.092556
"2019-08-26 09:34:10,525",43,7565,13.6,42,0.092399
"2019-08-26 09:34:16,259",44,7754,16.0,53,0.092209
"2019-08-26 09:34:21,965",45,7943,16.1,52,0.092019
"2019-08-26 09:34:26,661",46,8098,13.3,43,0.091863
"2019-08-26 09:34:32,742",47,8307,19.2,56,0.091653
"2019-08-26 09:34:37,421",48,8466,13.8,43,0.091494
"2019-08-26 09:34:42,058",49,8626,14.7,42,0.091333
"2019-08-26 09:34:47,562",50,8812,16.6,50,0.091146
"2019-08-26 09:34:55,821",51,9068,21.4,77,0.090889
"2019-08-26 09:35:02,131",52,9280,18.7,58,0.090676
"2019-08-26 09:35:07,727",53,9468,16.8,51,0.090488
"2019-08-26 09:35:15,919",54,9741,23.9,76,0.090214
"2019-08-26 09:35:20,602",55,9903,15.0,43,0.090051
"2019-08-26 09:35:26,253",56,10085,15.5,52,0.089868
"2019-08-26 09:35:33,039",57,10308,19.3,63,0.089644
"2019-08-26 09:35:38,690",58,10502,17.5,52,0.089450
"2019-08-26 09:35:44,364",59,10693,16.9,52,0.089258
"2019-08-26 09:35:52,767",60,10973,24.4,78,0.088977
"2019-08-26 09:35:57,560",61,11133,14.3,43,0.088816
"2019-08-26 09:36:09,948",62,11542,36.0,118,0.088407
"2019-08-26 09:36:14,622",63,11698,13.2,43,0.088250
"2019-08-26 09:36:21,100",64,11917,19.5,60,0.088030
"2019-08-26 09:36:29,179",65,12186,23.8,75,0.087760
"2019-08-26 09:36:41,176",66,12576,33.3,114,0.087370
"2019-08-26 09:36:52,034",67,12936,31.4,103,0.087009
"2019-08-26 09:36:57,610",68,13122,16.3,51,0.086822
"2019-08-26 09:37:04,065",69,13337,19.0,59,0.086606
"2019-08-26 09:37:09,532",70,13518,15.9,50,0.086425
"2019-08-26 09:37:15,064",71,13696,15.6,50,0.086246
"2019-08-26 09:37:20,747",72,13879,16.4,52,0.086062
"2019-08-26 09:37:28,466",73,14125,22.0,72,0.085815
"2019-08-26 09:37:35,983",74,14362,20.7,70,0.085577
"2019-08-26 09:37:43,430",75,14613,22.3,69,0.085326
"2019-08-26 09:37:51,566",76,14877,23.1,76,0.085061
"2019-08-26 09:38:00,707",77,15175,26.1,86,0.084762
"2019-08-26 09:38:07,950",78,15433,22.7,67,0.084504
"2019-08-26 09:38:15,084",79,15678,21.6,66,0.084258
"2019-08-26 09:38:19,761",80,15840,14.2,42,0.084095
"2019-08-26 09:38:26,760",81,16067,19.9,65,0.083867
"2019-08-26 09:38:32,279",82,16247,15.9,50,0.083686
"2019-08-26 09:38:38,973",83,16445,17.1,62,0.083488
"2019-08-26 09:38:48,144",84,16732,24.2,86,0.083200
"2019-08-26 09:38:56,246",85,16985,21.2,75,0.082946
"2019-08-26 09:39:03,212",86,17206,18.9,64,0.082724
"2019-08-26 09:39:10,803",87,17458,22.6,70,0.082472
"2019-08-26 09:39:19,357",88,17731,23.6,80,0.082198
"2019-08-26 09:39:32,726",89,18159,37.7,128,0.081769
"2019-08-26 09:39:37,418",90,18315,13.6,43,0.081612
"2019-08-26 09:39:43,362",91,18507,16.8,54,0.081420
"2019-08-26 09:39:49,923",92,18713,17.5,60,0.081213
"2019-08-26 09:39:56,874",93,18941,20.0,64,0.080984
"2019-08-26 09:40:05,684",94,19224,24.9,82,0.080700
"2019-08-26 09:40:10,441",95,19384,14.3,43,0.080539
"2019-08-26 09:40:18,498",96,19644,22.4,75,0.080279
"2019-08-26 09:40:23,300",97,19805,14.4,44,0.080117
"2019-08-26 09:40:29,705",98,20016,18.5,59,0.079905
"2019-08-26 09:40:34,484",99,20173,13.3,43,0.079747
"2019-08-26 09:40:40,758",100,20376,17.4,58,0.079543
"2019-08-26 09:40:48,315",101,20612,20.0,70,0.079307
"2019-08-26 09:40:53,042",102,20769,14.2,43,0.079149
"2019-08-26 09:41:06,680",103,21217,40.2,131,0.078700
"2019-08-26 09:41:13,211",104,21429,18.5,60,0.078488
"2019-08-26 09:41:18,811",105,21618,16.9,51,0.078298
"2019-08-26 09:41:27,821",106,21908,25.1,84,0.078007
"2019-08-26 09:41:36,396",107,22190,24.8,80,0.077724
"2019-08-26 09:41:43,953",108,22429,20.3,70,0.077485
"2019-08-26 09:42:00,976",109,22979,47.8,166,0.076934
"2019-08-26 09:42:06,758",110,23170,16.9,53,0.076742
"2019-08-26 09:42:11,446",111,23326,13.9,42,0.076585
"2019-08-26 09:42:25,124",112,23758,36.4,131,0.076153
"2019-08-26 09:42:32,437",113,23996,20.8,67,0.075914
"2019-08-26 09:42:41,395",114,24291,26.6,83,0.075618
"2019-08-26 09:42:55,657",115,24742,38.3,137,0.075167
"2019-08-26 09:43:01,611",116,24933,16.9,54,0.074975
"2019-08-26 09:43:20,006",117,25520,50.3,180,0.074388
"2019-08-26 09:43:27,456",118,25761,20.6,69,0.074146
"2019-08-26 09:43:32,153",119,25909,12.2,43,0.073997
"2019-08-26 09:43:41,007",120,26195,25.3,83,0.073710
"2019-08-26 09:43:51,478",121,26529,28.8,99,0.073376
"2019-08-26 09:44:02,408",122,26883,30.9,103,0.073021
"2019-08-26 09:44:10,737",123,27151,23.3,78,0.072752
"2019-08-26 09:44:20,255",124,27464,27.6,89,0.072439
"2019-08-26 09:44:26,788",125,27679,19.2,60,0.072223
"2019-08-26 09:44:33,356",126,27892,18.4,60,0.072009
"2019-08-26 09:44:41,369",127,28154,23.0,75,0.071746
"2019-08-26 09:44:50,069",128,28435,24.3,81,0.071465
"2019-08-26 09:44:59,176",129,28736,26.8,85,0.071163
"2019-08-26 09:45:08,510",130,29030,24.8,87,0.070868
"2019-08-26 09:45:14,207",131,29216,16.1,52,0.070681
"2019-08-26 09:45:34,097",132,29848,54.5,196,0.070049
"2019-08-26 09:45:38,756",133,30001,13.1,42,0.069895
"2019-08-26 09:45:54,997",134,30527,45.9,158,0.069369
"2019-08-26 09:46:01,765",135,30747,19.2,62,0.069148
"2019-08-26 09:46:07,778",136,30942,16.5,55,0.068952
"2019-08-26 09:46:27,551",137,31572,54.3,195,0.068322
"2019-08-26 09:46:40,361",138,31981,34.6,122,0.067912
"2019-08-26 09:46:54,680",139,32448,41.2,138,0.067445
"2019-08-26 09:47:03,429",140,32733,24.6,82,0.067159
"2019-08-26 09:47:08,085",141,32881,12.4,42,0.067010
"2019-08-26 09:47:26,129",142,33462,51.4,177,0.066429
"2019-08-26 09:47:34,534",143,33738,24.3,78,0.066152
"2019-08-26 09:47:53,651",144,34360,53.9,188,0.065530
"2019-08-26 09:48:01,054",145,34607,22.1,69,0.065282
"2019-08-26 09:48:15,804",146,35086,42.1,142,0.064802
"2019-08-26 09:48:25,539",147,35405,27.8,91,0.064483
"2019-08-26 09:48:37,706",148,35805,35.4,116,0.064082
"2019-08-26 09:48:50,015",149,36200,33.8,117,0.063686
"2019-08-26 09:48:57,201",150,36437,21.2,67,0.063449
"2019-08-26 09:49:02,947",151,36619,15.5,52,0.063266
