timestamp,episode,step,reward,score,epsilon
"2019-08-16 09:32:39,244",1,400,15.3,53,0.099598
"2019-08-16 09:32:46,514",2,622,19.4,67,0.099376
"2019-08-16 09:32:51,222",3,767,12.6,43,0.099230
"2019-08-16 09:33:01,340",4,1076,27.0,95,0.098920
"2019-08-16 09:33:06,043",5,1221,12.4,43,0.098774
"2019-08-16 09:33:11,815",6,1398,15.9,53,0.098596
"2019-08-16 09:33:16,526",7,1546,13.4,43,0.098448
"2019-08-16 09:33:21,223",8,1692,12.7,43,0.098301
"2019-08-16 09:33:25,919",9,1829,11.6,43,0.098163
"2019-08-16 09:33:32,440",10,2035,19.0,60,0.097956
"2019-08-16 09:33:37,151",11,2180,12.6,43,0.097810
"2019-08-16 09:33:43,572",12,2379,17.7,59,0.097610
"2019-08-16 09:33:49,330",13,2557,15.5,53,0.097432
"2019-08-16 09:33:55,852",14,2762,18.6,60,0.097226
"2019-08-16 09:34:00,590",15,2911,13.2,43,0.097076
"2019-08-16 09:34:05,299",16,3057,12.9,43,0.096929
"2019-08-16 09:34:10,056",17,3206,13.3,43,0.096779
"2019-08-16 09:34:15,786",18,3388,16.8,52,0.096596
"2019-08-16 09:34:22,458",19,3598,18.9,62,0.096386
"2019-08-16 09:34:27,156",20,3746,13.4,43,0.096237
"2019-08-16 09:34:31,861",21,3892,13.2,43,0.096090
"2019-08-16 09:34:38,108",22,4087,17.6,57,0.095894
"2019-08-16 09:34:42,822",23,4233,13.1,43,0.095747
"2019-08-16 09:34:50,707",24,4480,22.5,73,0.095500
"2019-08-16 09:34:55,409",25,4625,12.7,43,0.095354
"2019-08-16 09:35:00,156",26,4770,12.4,43,0.095208
"2019-08-16 09:35:04,861",27,4916,12.6,43,0.095061
"2019-08-16 09:35:09,611",28,5064,13.1,43,0.094912
"2019-08-16 09:35:16,043",29,5261,17.2,59,0.094714
"2019-08-16 09:35:23,687",30,5502,22.0,71,0.094473
"2019-08-16 09:35:28,457",31,5644,12.1,43,0.094330
"2019-08-16 09:35:33,216",32,5790,12.7,43,0.094183
"2019-08-16 09:35:46,083",33,6189,36.3,123,0.093783
"2019-08-16 09:35:50,803",34,6337,13.1,43,0.093634
"2019-08-16 09:35:56,591",35,6518,16.4,53,0.093453
"2019-08-16 09:36:01,398",36,6661,11.9,43,0.093309
"2019-08-16 09:36:06,288",37,6815,13.7,45,0.093154
"2019-08-16 09:36:21,636",38,7294,43.9,148,0.092674
"2019-08-16 09:36:28,756",39,7515,19.8,66,0.092453
"2019-08-16 09:36:36,306",40,7752,21.3,70,0.092215
"2019-08-16 09:36:47,580",41,8103,32.0,106,0.091863
"2019-08-16 09:36:53,327",42,8282,16.2,53,0.091683
"2019-08-16 09:37:03,111",43,8577,26.3,92,0.091388
"2019-08-16 09:37:14,107",44,8917,30.9,104,0.091047
"2019-08-16 09:37:29,808",45,9397,44.1,152,0.090566
"2019-08-16 09:37:41,808",46,9765,33.4,113,0.090198
"2019-08-16 09:37:49,060",47,9991,20.4,67,0.089971
"2019-08-16 09:37:56,191",48,10212,19.9,66,0.089749
"2019-08-16 09:38:16,376",49,10839,57.5,199,0.089122
"2019-08-16 09:38:21,149",50,10987,13.0,43,0.088973
"2019-08-16 09:38:28,254",51,11208,20.1,65,0.088751
"2019-08-16 09:38:34,058",52,11390,16.3,53,0.088568
"2019-08-16 09:38:52,194",53,11947,50.5,177,0.088011
"2019-08-16 09:38:59,378",54,12170,20.1,67,0.087787
"2019-08-16 09:39:14,255",55,12633,42.6,143,0.087324
"2019-08-16 09:39:21,637",56,12860,20.6,68,0.087096
"2019-08-16 09:39:33,553",57,13226,33.4,113,0.086729
"2019-08-16 09:39:41,087",58,13454,20.7,70,0.086501
"2019-08-16 09:39:46,979",59,13639,16.7,54,0.086315
"2019-08-16 09:39:52,802",60,13821,16.5,53,0.086132
"2019-08-16 09:39:57,543",61,13964,12.6,43,0.085988
"2019-08-16 09:40:06,558",62,14242,25.1,84,0.085709
"2019-08-16 09:40:11,272",63,14389,13.3,43,0.085561
"2019-08-16 09:40:23,171",64,14757,33.5,113,0.085193
"2019-08-16 09:40:38,586",65,15236,44.2,149,0.084713
"2019-08-16 09:40:43,340",66,15373,11.7,43,0.084575
"2019-08-16 09:40:51,535",67,15619,22.1,76,0.084329
"2019-08-16 09:41:06,982",68,16089,42.7,149,0.083858
"2019-08-16 09:41:21,258",69,16536,41.1,137,0.083411
"2019-08-16 09:41:33,369",70,16911,33.9,115,0.083035
"2019-08-16 09:41:38,175",71,17058,12.8,44,0.082887
"2019-08-16 09:41:45,618",72,17288,20.7,69,0.082656
"2019-08-16 09:41:57,494",73,17658,33.8,113,0.082286
"2019-08-16 09:42:04,601",74,17878,19.8,66,0.082065
"2019-08-16 09:42:09,520",75,18029,13.0,45,0.081913
"2019-08-16 09:42:20,540",76,18364,29.6,104,0.081577
"2019-08-16 09:42:27,132",77,18563,16.9,61,0.081378
"2019-08-16 09:42:35,377",78,18821,23.3,77,0.081119
"2019-08-16 09:42:43,488",79,19073,22.8,75,0.080866
"2019-08-16 09:42:57,804",80,19520,41.1,137,0.080419
"2019-08-16 09:43:13,459",81,20006,44.4,151,0.079932
"2019-08-16 09:43:19,404",82,20190,16.3,55,0.079747
"2019-08-16 09:43:27,021",83,20427,21.4,70,0.079510
"2019-08-16 09:43:44,216",84,20960,49.0,168,0.078976
"2019-08-16 09:43:54,578",85,21273,28.7,98,0.078662
"2019-08-16 09:44:03,439",86,21535,23.5,82,0.078400
"2019-08-16 09:44:12,150",87,21805,24.6,81,0.078129
"2019-08-16 09:44:20,420",88,22062,23.0,77,0.077871
"2019-08-16 09:44:33,498",89,22465,36.7,125,0.077468
"2019-08-16 09:45:01,316",90,23325,79.5,285,0.076607
"2019-08-16 09:45:11,650",91,23640,28.8,97,0.076292
"2019-08-16 09:45:16,364",92,23786,12.8,43,0.076145
"2019-08-16 09:45:21,047",93,23932,12.9,43,0.075998
"2019-08-16 09:45:25,762",94,24078,12.6,43,0.075851
"2019-08-16 09:45:40,590",95,24539,42.5,143,0.075390
"2019-08-16 09:45:45,347",96,24686,13.1,43,0.075242
"2019-08-16 09:45:50,920",97,24858,15.1,51,0.075069
"2019-08-16 09:45:57,641",98,25067,19.0,62,0.074859
"2019-08-16 09:46:02,408",99,25216,13.6,43,0.074709
"2019-08-16 09:46:07,113",100,25360,12.6,43,0.074564
"2019-08-16 09:46:11,836",101,25508,13.6,43,0.074416
"2019-08-16 09:46:21,071",102,25798,26.7,86,0.074125
"2019-08-16 09:46:27,406",103,25996,18.0,58,0.073926
"2019-08-16 09:46:42,652",104,26468,43.3,147,0.073454
"2019-08-16 09:46:49,446",105,26674,18.7,62,0.073247
"2019-08-16 09:46:55,253",106,26842,14.6,53,0.073078
"2019-08-16 09:47:00,023",107,26988,12.9,43,0.072931
"2019-08-16 09:47:04,828",108,27139,13.5,44,0.072779
"2019-08-16 09:47:21,351",109,27650,46.6,160,0.072268
"2019-08-16 09:47:34,507",110,28050,37.1,125,0.071867
"2019-08-16 09:47:51,908",111,28539,44.1,169,0.071378
"2019-08-16 09:47:58,687",112,28745,18.7,63,0.071171
"2019-08-16 09:48:03,402",113,28891,12.9,43,0.071024
"2019-08-16 09:48:09,333",114,29074,16.5,54,0.070840
"2019-08-16 09:48:16,600",115,29293,19.9,67,0.070620
"2019-08-16 09:48:25,147",116,29545,22.0,80,0.070368
"2019-08-16 09:48:43,786",117,30120,53.4,183,0.069792
"2019-08-16 09:48:52,338",118,30385,24.0,80,0.069527
"2019-08-16 09:49:04,667",119,30758,33.7,117,0.069153
"2019-08-16 09:49:09,413",120,30898,12.5,43,0.069012
"2019-08-16 09:49:27,216",121,31434,49.2,174,0.068476
"2019-08-16 09:49:32,985",122,31611,15.8,53,0.068298
"2019-08-16 09:49:41,509",123,31875,23.7,80,0.068033
"2019-08-16 09:49:55,998",124,32309,39.8,139,0.067598
"2019-08-16 09:50:19,346",125,33031,66.8,234,0.066876
"2019-08-16 09:50:25,044",126,33203,15.0,52,0.066703
"2019-08-16 09:50:33,454",127,33463,23.9,78,0.066443
"2019-08-16 09:50:48,849",128,33938,43.8,149,0.065967
"2019-08-16 09:50:53,690",129,34086,12.7,44,0.065818
"2019-08-16 09:51:11,695",130,34642,51.8,176,0.065262
"2019-08-16 09:51:16,423",131,34788,13.2,43,0.065115
"2019-08-16 09:51:42,781",132,35607,76.5,268,0.064296
"2019-08-16 09:51:57,969",133,36078,43.6,146,0.063824
"2019-08-16 09:52:04,377",134,36276,18.1,59,0.063625
"2019-08-16 09:52:13,003",135,36543,24.0,80,0.063358
"2019-08-16 09:52:36,612",136,37249,65.3,237,0.062651
"2019-08-16 09:52:49,408",137,37633,34.8,122,0.062267
"2019-08-16 09:53:19,119",138,38549,85.4,306,0.061351
"2019-08-16 09:53:36,655",139,39087,49.1,171,0.060812
"2019-08-16 09:53:56,728",140,39702,57.1,198,0.060197
"2019-08-16 09:54:01,520",141,39844,12.5,43,0.060054
"2019-08-16 09:54:13,290",142,40195,32.0,112,0.059702
"2019-08-16 09:54:25,485",143,40568,34.0,116,0.059329
"2019-08-16 09:54:33,908",144,40823,22.6,78,0.059073
"2019-08-16 09:54:44,135",145,41139,28.9,96,0.058756
"2019-08-16 09:54:51,166",146,41353,19.2,65,0.058541
"2019-08-16 09:54:57,614",147,41551,17.8,59,0.058343
"2019-08-16 09:55:09,686",148,41915,33.2,115,0.057978
"2019-08-16 09:55:26,050",149,42411,45.3,159,0.057482
"2019-08-16 09:55:36,260",150,42720,28.3,96,0.057172
"2019-08-16 09:56:00,430",151,43460,69.0,243,0.056432
"2019-08-16 09:56:09,441",152,43736,25.1,84,0.056155
"2019-08-16 09:56:18,542",153,44018,25.8,85,0.055872
"2019-08-16 09:56:31,399",154,44414,36.5,123,0.055476
"2019-08-16 09:56:38,128",155,44611,18.0,62,0.055278
"2019-08-16 09:56:48,211",156,44914,27.4,94,0.054974
"2019-08-16 09:56:55,074",157,45124,19.3,63,0.054763
"2019-08-16 09:57:07,744",158,45510,35.4,121,0.054377
"2019-08-16 09:57:24,000",159,46012,46.3,157,0.053874
"2019-08-16 09:57:28,702",160,46156,12.6,43,0.053729
"2019-08-16 09:57:46,344",161,46682,48.8,172,0.053203
"2019-08-16 09:57:54,907",162,46944,24.5,80,0.052940
"2019-08-16 09:58:15,875",163,47589,60.7,208,0.052295
"2019-08-16 09:58:22,150",164,47785,17.9,58,0.052098
"2019-08-16 09:58:40,819",165,48357,53.7,183,0.051526
"2019-08-16 09:58:45,686",166,48503,12.9,44,0.051379
"2019-08-16 09:58:51,430",167,48678,15.9,53,0.051203
"2019-08-16 09:58:59,798",168,48937,23.7,78,0.050943
"2019-08-16 09:59:09,001",169,49212,24.8,86,0.050667
"2019-08-16 09:59:22,959",170,49625,37.9,134,0.050254
"2019-08-16 09:59:27,734",171,49767,12.8,43,0.050111
"2019-08-16 09:59:41,651",172,50195,39.4,134,0.049682
"2019-08-16 09:59:56,015",173,50633,41.0,138,0.049244
"2019-08-16 10:00:11,624",174,51110,44.0,151,0.048766
"2019-08-16 10:00:19,602",175,51360,22.9,74,0.048516
"2019-08-16 10:00:40,306",176,51992,59.1,205,0.047883
"2019-08-16 10:00:49,718",177,52282,26.4,88,0.047592
"2019-08-16 10:01:03,672",178,52704,39.1,134,0.047170
"2019-08-16 10:01:08,371",179,52843,12.2,43,0.047030
"2019-08-16 10:01:17,199",180,53113,24.6,82,0.046759
"2019-08-16 10:01:23,063",181,53296,16.8,54,0.046575
"2019-08-16 10:01:29,624",182,53500,18.5,61,0.046371
"2019-08-16 10:01:39,673",183,53811,28.4,94,0.046059
"2019-08-16 10:01:52,096",184,54200,36.5,118,0.045669
"2019-08-16 10:01:59,475",185,54432,21.5,68,0.045437
"2019-08-16 10:02:09,141",186,54727,27.1,90,0.045141
"2019-08-16 10:02:16,547",187,54953,20.4,69,0.044914
"2019-08-16 10:02:32,675",188,55450,46.4,156,0.044417
"2019-08-16 10:02:38,955",189,55635,16.6,58,0.044231
"2019-08-16 10:02:50,903",190,56002,34.3,114,0.043863
"2019-08-16 10:03:11,568",191,56609,56.0,204,0.043256
"2019-08-16 10:03:23,532",192,56981,34.9,114,0.042883
"2019-08-16 10:03:34,156",193,57305,29.4,100,0.042558
"2019-08-16 10:03:49,580",194,57777,43.4,149,0.042086
"2019-08-16 10:03:54,260",195,57923,13.3,43,0.041939
"2019-08-16 10:04:18,159",196,58661,69.7,240,0.041201
"2019-08-16 10:04:44,954",197,59494,78.4,273,0.040368
"2019-08-16 10:05:07,851",198,60203,66.1,229,0.039658
"2019-08-16 10:05:23,027",199,60672,43.6,146,0.039189
"2019-08-16 10:05:31,475",200,60933,23.9,79,0.038927
"2019-08-16 10:05:47,607",201,61427,46.0,156,0.038433
"2019-08-16 10:06:14,267",202,62249,77.2,271,0.037610
"2019-08-16 10:06:31,049",203,62767,48.3,163,0.037092
"2019-08-16 10:06:40,124",204,63047,25.8,85,0.036811
"2019-08-16 10:06:46,993",205,63258,19.3,63,0.036599
"2019-08-16 10:07:14,143",206,64081,77.4,275,0.035776
"2019-08-16 10:07:30,984",207,64604,48.3,164,0.035253
"2019-08-16 10:07:51,093",208,65232,58.5,199,0.034624
"2019-08-16 10:08:13,627",209,65939,66.5,225,0.033917
"2019-08-16 10:08:18,471",210,66091,13.6,44,0.033764
"2019-08-16 10:08:35,362",211,66617,49.4,164,0.033238
"2019-08-16 10:08:41,619",212,66806,17.7,58,0.033048
"2019-08-16 10:08:49,082",213,67036,21.3,69,0.032817
"2019-08-16 10:08:53,873",214,67188,13.8,43,0.032664
"2019-08-16 10:09:02,346",215,67451,24.3,79,0.032401
"2019-08-16 10:09:19,717",216,67994,50.7,169,0.031857
"2019-08-16 10:09:24,464",217,68144,13.9,43,0.031706
"2019-08-16 10:09:33,212",218,68419,25.3,82,0.031431
"2019-08-16 10:09:37,909",219,68565,12.8,43,0.031284
"2019-08-16 10:09:55,411",220,69111,50.9,171,0.030737
"2019-08-16 10:10:06,796",221,69465,33.3,108,0.030383
"2019-08-16 10:10:16,373",222,69766,28.3,90,0.030081
"2019-08-16 10:10:33,291",223,70292,49.1,165,0.029555
"2019-08-16 10:10:42,602",224,70585,27.6,87,0.029261
"2019-08-16 10:10:53,443",225,70928,31.9,102,0.028917
"2019-08-16 10:10:58,240",226,71076,13.1,43,0.028768
"2019-08-16 10:11:09,452",227,71418,32.0,106,0.028426
"2019-08-16 10:11:26,302",228,71946,49.6,164,0.027897
"2019-08-16 10:11:31,007",229,72094,13.4,43,0.027748
"2019-08-16 10:11:42,785",230,72463,34.0,112,0.027379
"2019-08-16 10:12:09,093",231,73282,77.6,267,0.026560
"2019-08-16 10:12:13,814",232,73431,13.6,43,0.026410
"2019-08-16 10:12:22,698",233,73714,26.7,83,0.026126
"2019-08-16 10:12:46,212",234,74451,69.6,236,0.025389
"2019-08-16 10:13:01,566",235,74935,45.7,148,0.024904
"2019-08-16 10:13:24,599",236,75653,67.3,230,0.024186
"2019-08-16 10:13:51,337",237,76497,80.0,272,0.023342
"2019-08-16 10:13:59,659",238,76753,23.7,77,0.023085
"2019-08-16 10:14:17,219",239,77297,51.6,171,0.022541
"2019-08-16 10:14:47,033",240,78224,88.2,308,0.021613
"2019-08-16 10:15:04,944",241,78776,52.1,175,0.021061
"2019-08-16 10:15:23,628",242,79352,53.8,183,0.020485
"2019-08-16 10:15:31,697",243,79601,22.7,75,0.020235
"2019-08-16 10:15:58,194",244,80424,77.9,270,0.019412
"2019-08-16 10:16:16,698",245,80995,53.7,181,0.018840
"2019-08-16 10:16:28,378",246,81352,33.0,110,0.018483
"2019-08-16 10:16:40,346",247,81714,34.3,114,0.018120
"2019-08-16 10:16:58,829",248,82273,53.1,181,0.017561
"2019-08-16 10:17:27,629",249,83154,83.4,296,0.016679
"2019-08-16 10:17:58,768",250,84123,91.4,323,0.015710
"2019-08-16 10:18:17,490",251,84666,51.4,173,0.015167
"2019-08-16 10:18:35,880",252,85236,53.9,180,0.014596
"2019-08-16 10:18:46,860",253,85567,30.7,104,0.014265
"2019-08-16 10:19:06,915",254,86192,59.3,198,0.013639
"2019-08-16 10:19:35,360",255,87060,82.9,292,0.012771
"2019-08-16 10:19:46,931",256,87415,32.8,110,0.012416
"2019-08-16 10:20:22,528",257,88525,105.7,377,0.011306
"2019-08-16 10:20:46,869",258,89286,72.4,245,0.010545
"2019-08-16 10:21:25,481",259,90481,114.4,414,0.009350
"2019-08-16 10:21:45,792",260,91110,59.8,201,0.008720
"2019-08-16 10:22:06,296",261,91741,60.1,203,0.008089
"2019-08-16 10:22:11,137",262,91892,13.9,44,0.007937
"2019-08-16 10:22:34,074",263,92604,67.6,230,0.007225
"2019-08-16 10:22:41,177",264,92826,20.6,66,0.007002
"2019-08-16 10:23:10,813",265,93739,86.6,306,0.006089
"2019-08-16 10:23:28,263",266,94278,51.2,170,0.005550
"2019-08-16 10:23:35,857",267,94515,22.2,70,0.005312
"2019-08-16 10:23:41,967",268,94707,17.8,56,0.005119
"2019-08-16 10:23:56,203",269,95151,41.5,137,0.004674
"2019-08-16 10:24:06,939",270,95486,31.8,101,0.004339
"2019-08-16 10:24:44,682",271,96655,111.4,403,0.003170
"2019-08-16 10:25:27,035",272,97975,125.9,461,0.001850
"2019-08-16 10:25:51,929",273,98744,72.8,251,0.001081
"2019-08-16 10:26:33,972",274,100047,124.8,457,0.000100
"2019-08-16 10:26:58,314",275,100802,71.9,245,0.000100
"2019-08-16 10:27:20,285",276,101483,65.1,219,0.000100
"2019-08-16 10:27:55,134",277,102570,104.2,368,0.000100
"2019-08-16 10:28:30,220",278,103665,104.7,370,0.000100
"2019-08-16 10:28:34,915",279,103814,13.9,43,0.000100
"2019-08-16 10:29:04,619",280,104738,87.8,306,0.000100
"2019-08-16 10:29:38,801",281,105803,102.3,359,0.000100
"2019-08-16 10:30:09,963",282,106776,93.0,323,0.000100
"2019-08-16 10:30:50,887",283,108054,122.4,443,0.000100
"2019-08-16 10:31:47,504",284,109839,170.7,653,0.000100
"2019-08-16 10:32:07,256",285,110462,59.3,195,0.000100
"2019-08-16 10:32:48,972",286,111725,120.7,448,0.000100
"2019-08-16 10:33:14,166",287,112518,75.8,255,0.000100
"2019-08-16 10:33:52,104",288,113709,113.6,406,0.000100
"2019-08-16 10:34:14,567",289,114409,67.0,224,0.000100
"2019-08-16 10:35:00,447",290,115836,136.6,507,0.000100
"2019-08-16 10:35:35,290",291,116910,102.6,367,0.000100
"2019-08-16 10:35:45,465",292,117209,27.8,96,0.000100
"2019-08-16 10:36:21,182",293,118302,104.4,378,0.000100
"2019-08-16 10:36:49,221",294,119160,81.9,287,0.000100
"2019-08-16 10:37:23,335",295,120183,97.8,359,0.000100
"2019-08-16 10:37:48,070",296,120927,70.8,249,0.000100
"2019-08-16 10:38:20,646",297,121930,96.0,340,0.000100
"2019-08-16 10:39:01,948",298,123226,124.5,448,0.000100
"2019-08-16 10:39:33,988",299,124234,96.6,334,0.000100
"2019-08-16 10:40:02,395",300,125132,86.0,291,0.000100
"2019-08-16 10:40:38,950",301,126271,109.1,388,0.000100
"2019-08-16 10:41:14,321",302,127367,105.1,374,0.000100
"2019-08-16 10:41:51,612",303,128526,111.1,398,0.000100
"2019-08-16 10:42:40,735",304,130062,148.2,550,0.000100
"2019-08-16 10:43:28,996",305,131582,146.0,538,0.000100
"2019-08-16 10:44:19,708",306,133169,153.0,567,0.000100
"2019-08-16 10:44:50,904",307,134156,94.9,324,0.000100
"2019-08-16 10:45:40,301",308,135702,149.3,554,0.000100
"2019-08-16 10:46:07,085",309,136551,81.9,273,0.000100
"2019-08-16 10:46:54,151",310,138034,143.5,523,0.000100
"2019-08-16 10:47:33,242",311,139265,118.6,418,0.000100
"2019-08-16 10:48:25,932",312,140937,161.6,599,0.000100
"2019-08-16 10:49:11,688",313,142383,139.3,505,0.000100
"2019-08-16 10:49:54,730",314,143747,131.7,470,0.000100
"2019-08-16 10:50:37,046",315,145090,129.8,461,0.000100
"2019-08-16 10:51:26,096",316,146641,149.6,549,0.000100
"2019-08-16 10:52:06,261",317,147919,123.3,433,0.000100
"2019-08-16 10:52:47,666",318,149218,124.8,449,0.000100
"2019-08-16 10:53:29,964",319,150561,129.3,461,0.000100
"2019-08-16 10:54:28,141",320,152410,179.0,675,0.000100
"2019-08-16 10:55:15,335",321,153909,144.5,524,0.000100
"2019-08-16 10:56:02,538",322,155404,143.8,524,0.000100
"2019-08-16 10:56:30,639",323,156294,85.4,288,0.000100
"2019-08-16 10:56:47,443",324,156824,50.4,163,0.000100
"2019-08-16 10:57:06,244",325,157416,56.5,185,0.000100
"2019-08-16 10:57:42,278",326,158547,108.4,380,0.000100
"2019-08-16 10:58:28,120",327,160001,139.5,506,0.000100
"2019-08-16 10:58:47,325",328,160612,58.6,189,0.000100
"2019-08-16 10:59:02,320",329,161091,45.8,144,0.000100
"2019-08-16 10:59:47,801",330,162533,138.8,502,0.000100
"2019-08-16 11:00:09,251",331,163207,64.0,213,0.000100
"2019-08-16 11:00:31,812",332,163919,67.8,225,0.000100
"2019-08-16 11:01:15,329",333,165297,132.4,476,0.000100
"2019-08-16 11:02:06,376",334,166914,155.9,576,0.000100
"2019-08-16 11:02:53,862",335,168424,145.8,528,0.000100
"2019-08-16 11:03:47,452",336,170112,162.3,610,0.000100
"2019-08-16 11:04:34,072",337,171586,142.1,517,0.000100
"2019-08-16 11:05:26,095",338,173234,159.2,589,0.000100
"2019-08-16 11:05:53,248",339,174089,81.7,277,0.000100
"2019-08-16 11:06:50,956",340,175922,177.3,668,0.000100
"2019-08-16 11:07:35,111",341,177320,135.1,484,0.000100
"2019-08-16 11:08:27,132",342,178975,159.5,589,0.000100
"2019-08-16 11:09:25,792",343,180836,179.4,682,0.000100
"2019-08-16 11:10:20,732",344,182583,168.5,629,0.000100
"2019-08-16 11:10:26,532",345,182768,17.1,53,0.000100
"2019-08-16 11:11:22,934",346,184555,172.8,649,0.000100
"2019-08-16 11:12:13,931",347,186172,156.5,575,0.000100
"2019-08-16 11:12:49,568",348,187302,108.7,377,0.000100
"2019-08-16 11:13:16,190",349,188148,81.3,271,0.000100
"2019-08-16 11:14:17,768",350,190102,188.8,724,0.000100
"2019-08-16 11:14:52,835",351,191212,107.1,370,0.000100
"2019-08-16 11:15:28,508",352,192343,108.7,378,0.000100
"2019-08-16 11:15:53,910",353,193148,76.9,257,0.000100
"2019-08-16 11:16:33,304",354,194393,119.4,424,0.000100
"2019-08-16 11:16:59,631",355,195229,80.1,267,0.000100
"2019-08-16 11:17:30,834",356,196207,93.1,324,0.000100
"2019-08-16 11:17:37,773",357,196428,20.9,64,0.000100
"2019-08-16 11:18:28,628",358,198037,155.1,573,0.000100
"2019-08-16 11:19:17,070",359,199574,148.6,541,0.000100
"2019-08-16 11:19:41,304",360,200343,73.9,244,0.000100
"2019-08-16 11:20:38,818",361,202161,175.1,666,0.000100
"2019-08-16 11:21:22,182",362,203535,132.1,475,0.000100
"2019-08-16 11:22:21,921",363,205421,181.8,697,0.000100
"2019-08-16 11:23:02,032",364,206690,121.6,433,0.000100
"2019-08-16 11:23:37,747",365,207812,107.0,378,0.000100
"2019-08-16 11:24:00,906",366,208536,69.0,232,0.000100
"2019-08-16 11:24:48,211",367,210038,144.8,526,0.000100
"2019-08-16 11:25:11,283",368,210772,70.5,231,0.000100
"2019-08-16 11:25:35,809",369,211553,75.0,247,0.000100
"2019-08-16 11:26:18,399",370,212905,130.0,464,0.000100
"2019-08-16 11:27:22,660",371,214937,195.2,763,0.000100
"2019-08-16 11:27:27,499",372,215091,14.2,44,0.000100
"2019-08-16 11:28:36,537",373,217285,211.5,835,0.000100
"2019-08-16 11:29:22,716",374,218743,139.4,511,0.000100
"2019-08-16 11:30:17,495",375,220475,166.8,628,0.000100
"2019-08-16 11:31:07,686",376,222060,152.8,564,0.000100
