timestamp,episode,step,reward,score,epsilon
"2019-08-05 12:02:27,323",0,130,10.5,48,0.099869
"2019-08-05 12:02:32,906",1,344,17.0,51,0.099654
"2019-08-05 12:02:37,546",2,466,10.7,42,0.099531
"2019-08-05 12:02:42,187",3,587,9.8,42,0.099410
"2019-08-05 12:02:46,876",4,712,10.5,43,0.099284
"2019-08-05 12:02:51,558",5,829,8.4,42,0.099166
"2019-08-05 12:02:56,286",6,956,10.9,43,0.099038
"2019-08-05 12:03:00,923",7,1083,11.1,42,0.098910
"2019-08-05 12:03:05,583",8,1211,11.4,42,0.098781
"2019-08-05 12:03:11,381",9,1367,13.7,53,0.098624
"2019-08-05 12:03:16,027",10,1492,10.9,42,0.098499
"2019-08-05 12:03:20,710",11,1618,10.6,43,0.098372
"2019-08-05 12:03:25,375",12,1747,11.4,42,0.098242
"2019-08-05 12:03:30,118",13,1878,11.4,43,0.098110
"2019-08-05 12:03:34,774",14,2009,11.6,42,0.097978
"2019-08-05 12:03:40,073",15,2137,11.3,43,0.097849
"2019-08-05 12:03:44,755",16,2265,11.3,43,0.097720
"2019-08-05 12:03:49,391",17,2392,10.8,42,0.097592
"2019-08-05 12:03:54,124",18,2521,10.7,43,0.097463
"2019-08-05 12:04:00,923",19,2701,14.7,63,0.097282
"2019-08-05 12:04:06,572",20,2856,13.3,52,0.097126
"2019-08-05 12:04:11,211",21,2984,11.5,42,0.096997
"2019-08-05 12:04:15,880",22,3109,10.8,42,0.096871
"2019-08-05 12:04:20,549",23,3236,10.9,42,0.096743
"2019-08-05 12:04:25,252",24,3357,10.2,43,0.096621
"2019-08-05 12:04:35,240",25,3628,22.1,94,0.096350
"2019-08-05 12:04:39,898",26,3758,11.5,42,0.096219
"2019-08-05 12:04:50,068",27,4046,25.7,95,0.095930
"2019-08-05 12:04:57,001",28,4243,17.3,64,0.095732
"2019-08-05 12:05:03,093",29,4418,15.7,56,0.095556
"2019-08-05 12:05:07,816",30,4554,11.9,43,0.095420
"2019-08-05 12:05:12,507",31,4684,11.2,42,0.095289
"2019-08-05 12:05:17,236",32,4819,12.0,43,0.095153
"2019-08-05 12:05:24,420",33,5017,16.8,66,0.094954
"2019-08-05 12:05:30,117",34,5173,13.0,52,0.094797
"2019-08-05 12:05:36,009",35,5332,12.7,54,0.094637
"2019-08-05 12:05:46,581",36,5631,27.1,99,0.094338
"2019-08-05 12:05:51,222",37,5761,11.0,42,0.094207
"2019-08-05 12:05:59,290",38,5988,20.1,75,0.093979
"2019-08-05 12:06:05,626",39,6172,16.6,58,0.093794
"2019-08-05 12:06:10,253",40,6306,12.0,42,0.093659
"2019-08-05 12:06:16,910",41,6492,16.2,61,0.093473
"2019-08-05 12:06:21,713",42,6627,11.4,44,0.093337
"2019-08-05 12:06:28,635",43,6823,17.0,64,0.093140
"2019-08-05 12:06:33,292",44,6957,11.7,42,0.093005
"2019-08-05 12:06:39,484",45,7136,16.0,57,0.092825
"2019-08-05 12:06:44,129",46,7265,10.9,42,0.092695
"2019-08-05 12:06:48,980",47,7399,11.2,44,0.092560
"2019-08-05 12:06:56,180",48,7603,17.6,67,0.092356
"2019-08-05 12:07:02,557",49,7785,15.9,59,0.092173
"2019-08-05 12:07:20,252",50,8284,44.3,173,0.091673
"2019-08-05 12:07:25,046",51,8419,11.8,44,0.091537
"2019-08-05 12:07:35,442",52,8713,26.0,98,0.091243
"2019-08-05 12:07:40,123",53,8847,11.7,42,0.091108
"2019-08-05 12:07:44,782",54,8980,11.3,42,0.090974
"2019-08-05 12:07:54,234",55,9249,23.8,88,0.090704
"2019-08-05 12:07:58,924",56,9379,11.0,43,0.090573
"2019-08-05 12:08:07,709",57,9627,22.1,82,0.090325
"2019-08-05 12:08:15,692",58,9857,20.8,74,0.090094
"2019-08-05 12:08:29,374",59,10238,33.5,131,0.089712
"2019-08-05 12:08:35,141",60,10400,14.3,53,0.089549
"2019-08-05 12:08:39,909",61,10529,11.1,43,0.089420
"2019-08-05 12:08:58,820",62,11041,44.2,186,0.088907
"2019-08-05 12:09:05,979",63,11242,18.0,66,0.088705
"2019-08-05 12:09:10,680",64,11372,10.8,43,0.088574
"2019-08-05 12:09:15,382",65,11504,11.9,42,0.088442
"2019-08-05 12:09:22,194",66,11687,15.4,63,0.088258
"2019-08-05 12:09:30,495",67,11912,18.9,77,0.088032
"2019-08-05 12:09:45,130",68,12312,34.9,141,0.087631
"2019-08-05 12:09:53,906",69,12554,21.0,82,0.087389
"2019-08-05 12:09:59,605",70,12715,14.1,52,0.087227
"2019-08-05 12:10:10,548",71,13018,27.1,103,0.086923
"2019-08-05 12:10:30,794",72,13587,52.2,200,0.086354
"2019-08-05 12:10:35,510",73,13720,11.5,43,0.086220
"2019-08-05 12:10:42,056",74,13903,15.8,60,0.086036
"2019-08-05 12:10:51,399",75,14161,21.6,87,0.085777
"2019-08-05 12:11:00,586",76,14408,21.0,86,0.085529
"2019-08-05 12:11:07,133",77,14592,16.1,60,0.085345
"2019-08-05 12:11:13,025",78,14751,13.4,54,0.085185
"2019-08-05 12:11:23,081",79,15024,23.7,94,0.084911
"2019-08-05 12:11:30,325",80,15220,17.0,67,0.084714
"2019-08-05 12:11:35,206",81,15353,11.5,44,0.084580
"2019-08-05 12:11:51,375",82,15789,37.8,157,0.084144
"2019-08-05 12:11:57,889",83,15962,15.1,60,0.083970
"2019-08-05 12:12:07,661",84,16228,23.5,91,0.083703
"2019-08-05 12:12:14,581",85,16411,15.8,64,0.083519
"2019-08-05 12:12:24,854",86,16680,23.2,96,0.083250
"2019-08-05 12:12:29,558",87,16803,10.1,43,0.083126
