timestamp,episode,step,reward,score,epsilon
"2019-08-07 10:24:09,510",0,58,-0.7,47,0.010000
"2019-08-07 10:24:14,182",1,194,3.1,42,0.010000
"2019-08-07 10:24:23,245",2,492,25.8,85,0.010000
"2019-08-07 10:24:27,946",3,657,15.0,43,0.010000
"2019-08-07 10:24:32,617",4,826,15.6,43,0.010000
"2019-08-07 10:24:37,290",5,997,16.0,43,0.010000
"2019-08-07 10:24:41,998",6,1165,15.6,43,0.010000
"2019-08-07 10:24:46,679",7,1333,15.5,43,0.010000
"2019-08-07 10:24:51,389",8,1499,15.2,43,0.010000
"2019-08-07 10:24:56,061",9,1668,15.8,43,0.010000
"2019-08-07 10:25:00,709",10,1838,16.0,42,0.010000
"2019-08-07 10:25:06,509",11,2045,19.4,53,0.010000
"2019-08-07 10:25:11,196",12,2212,15.2,43,0.010000
"2019-08-07 10:25:15,862",13,2380,15.6,43,0.010000
"2019-08-07 10:25:20,553",14,2551,16.1,43,0.010000
"2019-08-07 10:25:25,254",15,2723,16.2,43,0.010000
"2019-08-07 10:25:30,073",16,2898,16.4,44,0.010000
"2019-08-07 10:25:36,599",17,3130,21.6,60,0.010000
"2019-08-07 10:25:41,274",18,3298,15.5,43,0.010000
"2019-08-07 10:25:45,936",19,3467,15.6,42,0.010000
"2019-08-07 10:25:50,623",20,3638,16.0,43,0.010000
"2019-08-07 10:25:56,342",21,3845,19.5,52,0.010000
"2019-08-07 10:26:04,648",22,4141,27.7,77,0.010000
"2019-08-07 10:26:09,383",23,4311,15.7,43,0.010000
"2019-08-07 10:26:17,472",24,4602,27.3,75,0.010000
"2019-08-07 10:26:23,991",25,4834,21.2,60,0.010000
"2019-08-07 10:26:33,230",26,5160,30.4,86,0.010000
"2019-08-07 10:26:48,359",27,5697,49.9,146,0.010000
"2019-08-07 10:26:53,032",28,5867,16.0,43,0.010000
"2019-08-07 10:26:59,784",29,6112,23.1,62,0.010000
"2019-08-07 10:27:04,453",30,6284,16.2,43,0.010000
"2019-08-07 10:27:20,925",31,6868,54.8,160,0.010000
"2019-08-07 10:27:31,839",32,7259,36.9,103,0.010000
"2019-08-07 10:27:37,514",33,7463,19.0,52,0.010000
"2019-08-07 10:27:53,972",34,8055,56.5,160,0.010000
"2019-08-07 10:28:05,100",35,8455,37.9,105,0.010000
"2019-08-07 10:28:24,011",36,9127,63.5,186,0.010000
"2019-08-07 10:28:34,403",37,9493,34.2,98,0.010000
"2019-08-07 10:28:53,108",38,10155,62.2,183,0.010000
"2019-08-07 10:29:12,611",39,10856,66.8,192,0.010000
"2019-08-07 10:29:27,629",40,11391,50.4,145,0.010000
"2019-08-07 10:29:40,481",41,11848,42.8,123,0.010000
"2019-08-07 10:30:00,393",42,12555,66.6,197,0.010000
"2019-08-07 10:30:12,141",43,12973,39.2,111,0.010000
"2019-08-07 10:30:33,916",44,13746,73.2,217,0.010000
"2019-08-07 10:30:42,130",45,14039,27.5,77,0.010000
"2019-08-07 10:30:50,875",46,14352,29.4,82,0.010000
"2019-08-07 10:31:00,882",47,14708,33.4,94,0.010000
"2019-08-07 10:31:17,867",48,15312,56.8,165,0.010000
"2019-08-07 10:31:42,591",49,16182,81.3,249,0.010000
"2019-08-07 10:31:59,387",50,16779,56.4,163,0.010000
"2019-08-07 10:32:23,196",51,17616,78.5,239,0.010000
"2019-08-07 10:32:31,375",52,17907,27.1,76,0.010000
"2019-08-07 10:32:47,111",53,18470,53.1,152,0.010000
"2019-08-07 10:33:05,184",54,19117,61.5,177,0.010000
"2019-08-07 10:33:27,297",55,19900,73.9,220,0.010000
"2019-08-07 10:33:50,795",56,20733,78.9,236,0.010000
"2019-08-07 10:34:22,823",57,21874,109.1,334,0.010000
"2019-08-07 10:34:47,739",58,22757,83.8,252,0.010000
"2019-08-07 10:35:00,515",59,23215,43.4,122,0.010000
"2019-08-07 10:35:18,127",60,23843,59.6,172,0.010000
"2019-08-07 10:35:25,498",61,24104,24.3,68,0.010000
"2019-08-07 10:35:32,854",62,24366,24.7,68,0.010000
"2019-08-07 10:35:43,135",63,24736,35.2,97,0.010000
"2019-08-07 10:35:59,889",64,25332,56.8,163,0.010000
"2019-08-07 10:36:09,704",65,25682,33.2,92,0.010000
"2019-08-07 10:36:37,212",66,26656,92.5,281,0.010000
"2019-08-07 10:37:03,879",67,27602,89.9,271,0.010000
"2019-08-07 10:37:10,130",68,27824,20.6,57,0.010000
"2019-08-07 10:37:34,144",69,28673,80.6,242,0.010000
"2019-08-07 10:37:40,425",70,28895,20.9,58,0.010000
"2019-08-07 10:37:49,611",71,29220,30.6,86,0.010000
"2019-08-07 10:38:10,969",72,29970,71.3,212,0.010000
"2019-08-07 10:38:15,704",73,30140,15.8,43,0.010000
"2019-08-07 10:38:50,444",74,31352,115.1,367,0.010000
"2019-08-07 10:39:03,520",75,31817,44.1,125,0.010000
"2019-08-07 10:39:28,568",76,32697,83.4,253,0.010000
"2019-08-07 10:39:50,871",77,33485,75.4,223,0.010000
"2019-08-07 10:39:58,493",78,33750,24.6,71,0.010000
"2019-08-07 10:40:07,361",79,34067,29.9,83,0.010000
"2019-08-07 10:40:26,009",80,34730,63.0,183,0.010000
"2019-08-07 10:40:54,887",81,35738,96.0,297,0.010000
"2019-08-07 10:41:21,538",82,36673,88.9,271,0.010000
