timestamp,episode,step,reward,score,epsilon
"2019-08-07 16:18:19,648",0,41,-0.8,49,0.009996
"2019-08-07 16:18:24,360",1,181,2.9,43,0.009984
"2019-08-07 16:18:30,168",2,375,17.0,53,0.009966
"2019-08-07 16:18:38,043",3,641,24.0,73,0.009942
"2019-08-07 16:18:42,764",4,810,15.4,43,0.009927
"2019-08-07 16:18:47,459",5,977,15.0,43,0.009912
"2019-08-07 16:18:52,285",6,1142,15.3,43,0.009897
"2019-08-07 16:18:57,029",7,1305,15.1,43,0.009882
"2019-08-07 16:19:01,750",8,1467,15.1,43,0.009867
"2019-08-07 16:19:06,439",9,1625,14.6,43,0.009853
"2019-08-07 16:19:11,130",10,1793,15.4,43,0.009838
"2019-08-07 16:19:15,846",11,1956,15.0,43,0.009823
"2019-08-07 16:19:20,545",12,2116,15.0,43,0.009808
"2019-08-07 16:19:25,328",13,2273,14.3,44,0.009794
"2019-08-07 16:19:30,130",14,2442,15.8,44,0.009779
"2019-08-07 16:19:34,838",15,2610,15.7,43,0.009764
"2019-08-07 16:19:39,551",16,2772,15.2,43,0.009749
"2019-08-07 16:19:44,261",17,2927,14.3,43,0.009735
"2019-08-07 16:19:49,013",18,3085,14.7,43,0.009721
"2019-08-07 16:19:53,706",19,3243,14.5,43,0.009706
"2019-08-07 16:19:59,214",20,3440,18.5,50,0.009689
"2019-08-07 16:20:03,916",21,3592,14.1,43,0.009675
"2019-08-07 16:20:08,620",22,3750,14.7,43,0.009660
"2019-08-07 16:20:15,369",23,3976,21.0,62,0.009640
"2019-08-07 16:20:20,096",24,4146,16.0,43,0.009625
"2019-08-07 16:20:24,768",25,4314,15.5,43,0.009609
"2019-08-07 16:20:31,582",26,4549,22.1,63,0.009588
"2019-08-07 16:20:36,265",27,4707,14.8,43,0.009574
"2019-08-07 16:20:40,974",28,4866,14.9,43,0.009559
"2019-08-07 16:20:45,678",29,5028,14.6,43,0.009545
"2019-08-07 16:20:50,367",30,5194,15.3,43,0.009530
"2019-08-07 16:20:57,771",31,5439,22.8,68,0.009508
"2019-08-07 16:21:06,664",32,5738,28.2,83,0.009481
"2019-08-07 16:21:11,350",33,5903,15.5,43,0.009466
"2019-08-07 16:21:16,695",34,6091,17.7,49,0.009449
"2019-08-07 16:21:21,381",35,6260,15.8,43,0.009433
"2019-08-07 16:21:26,142",36,6426,15.5,43,0.009418
"2019-08-07 16:21:32,772",37,6647,20.6,61,0.009398
"2019-08-07 16:21:38,445",38,6832,17.3,52,0.009382
