timestamp,episode,step,reward,score,epsilon
"2019-08-08 13:32:51,039",0,60,-0.8,48,0.009999
"2019-08-08 13:32:55,746",1,201,4.4,43,0.009998
"2019-08-08 13:33:00,451",2,352,12.2,43,0.009996
"2019-08-08 13:33:05,154",3,517,14.8,43,0.009995
"2019-08-08 13:33:09,808",4,686,15.9,42,0.009993
"2019-08-08 13:33:14,500",5,854,15.8,43,0.009991
"2019-08-08 13:33:19,184",6,1017,15.3,43,0.009990
"2019-08-08 13:33:23,900",7,1182,15.3,43,0.009988
"2019-08-08 13:33:28,634",8,1339,13.9,43,0.009987
"2019-08-08 13:33:33,305",9,1507,15.6,43,0.009985
"2019-08-08 13:33:37,985",10,1677,16.0,43,0.009983
"2019-08-08 13:33:42,702",11,1837,14.2,43,0.009982
"2019-08-08 13:33:47,363",12,2001,15.2,43,0.009980
"2019-08-08 13:33:52,013",13,2169,15.6,42,0.009978
"2019-08-08 13:33:56,703",14,2340,16.0,43,0.009977
"2019-08-08 13:34:01,386",15,2510,15.9,43,0.009975
"2019-08-08 13:34:06,140",16,2678,15.7,43,0.009973
"2019-08-08 13:34:10,816",17,2840,15.0,43,0.009972
"2019-08-08 13:34:15,488",18,3006,15.1,43,0.009970
"2019-08-08 13:34:20,996",19,3196,17.9,50,0.009968
"2019-08-08 13:34:25,679",20,3362,15.6,42,0.009967
"2019-08-08 13:34:30,377",21,3528,15.6,43,0.009965
"2019-08-08 13:34:35,090",22,3692,15.3,43,0.009963
"2019-08-08 13:34:39,788",23,3861,15.6,43,0.009962
"2019-08-08 13:34:44,471",24,4030,15.9,43,0.009960
"2019-08-08 13:34:49,136",25,4199,15.8,43,0.009958
"2019-08-08 13:34:53,845",26,4365,15.6,43,0.009957
"2019-08-08 13:34:58,515",27,4528,15.3,43,0.009955
"2019-08-08 13:35:03,190",28,4695,15.6,43,0.009953
"2019-08-08 13:35:07,897",29,4865,15.9,43,0.009952
"2019-08-08 13:35:12,612",30,5035,15.9,43,0.009950
"2019-08-08 13:35:17,315",31,5202,15.7,43,0.009948
"2019-08-08 13:35:22,010",32,5365,15.3,43,0.009947
"2019-08-08 13:35:26,667",33,5533,15.8,42,0.009945
"2019-08-08 13:35:32,488",34,5740,19.3,53,0.009943
"2019-08-08 13:35:37,188",35,5909,15.8,43,0.009941
"2019-08-08 13:35:42,902",36,6109,18.8,52,0.009939
"2019-08-08 13:35:49,502",37,6343,22.0,61,0.009937
"2019-08-08 13:35:54,215",38,6514,15.9,43,0.009935
"2019-08-08 13:35:58,902",39,6684,16.0,43,0.009933
"2019-08-08 13:36:03,580",40,6853,15.9,43,0.009932
"2019-08-08 13:36:11,214",41,7117,24.7,71,0.009929
