timestamp,episode,step,reward,score,epsilon
"2019-08-11 09:28:07,230",0,97,-0.0,57,0.099902
"2019-08-11 09:28:13,429",1,302,14.3,57,0.099696
"2019-08-11 09:28:18,133",2,465,14.3,43,0.099532
"2019-08-11 09:28:24,708",3,692,20.1,61,0.099305
"2019-08-11 09:28:29,478",4,856,13.7,44,0.099140
"2019-08-11 09:28:34,214",5,1019,13.9,43,0.098976
"2019-08-11 09:28:40,399",6,1234,18.9,57,0.098760
"2019-08-11 09:28:46,521",7,1443,18.9,56,0.098550
"2019-08-11 09:28:52,296",8,1645,17.9,53,0.098348
"2019-08-11 09:28:57,061",9,1810,14.1,43,0.098182
"2019-08-11 09:29:04,400",10,2066,22.7,68,0.097925
"2019-08-11 09:29:09,088",11,2222,12.5,43,0.097768
"2019-08-11 09:29:13,794",12,2388,14.9,43,0.097601
"2019-08-11 09:29:20,087",13,2604,18.5,58,0.097385
"2019-08-11 09:29:24,884",14,2777,15.8,44,0.097211
"2019-08-11 09:29:32,441",15,3043,24.1,70,0.096944
"2019-08-11 09:29:37,150",16,3205,13.6,43,0.096781
"2019-08-11 09:29:42,852",17,3401,17.7,52,0.096584
"2019-08-11 09:29:47,542",18,3563,14.6,43,0.096422
"2019-08-11 09:29:54,595",19,3806,21.4,65,0.096178
"2019-08-11 09:30:00,702",20,4015,18.1,56,0.095968
"2019-08-11 09:30:05,426",21,4175,13.7,43,0.095807
"2019-08-11 09:30:10,104",22,4336,14.1,43,0.095645
"2019-08-11 09:30:17,153",23,4581,22.3,65,0.095400
"2019-08-11 09:30:22,481",24,4767,16.7,49,0.095213
"2019-08-11 09:30:27,166",25,4926,13.5,43,0.095053
"2019-08-11 09:30:36,433",26,5245,28.3,87,0.094733
"2019-08-11 09:30:41,126",27,5409,14.6,43,0.094568
"2019-08-11 09:30:46,998",28,5610,17.3,54,0.094367
"2019-08-11 09:30:51,671",29,5774,14.6,43,0.094202
"2019-08-11 09:30:56,355",30,5938,14.6,43,0.094037
"2019-08-11 09:31:01,062",31,6097,13.7,43,0.093877
"2019-08-11 09:31:08,918",32,6368,24.6,73,0.093605
"2019-08-11 09:31:14,657",33,6535,14.4,52,0.093438
"2019-08-11 09:31:19,366",34,6693,13.3,43,0.093279
"2019-08-11 09:31:27,921",35,6982,25.8,80,0.092989
"2019-08-11 09:31:32,628",36,7147,14.7,43,0.092823
"2019-08-11 09:31:46,453",37,7629,43.5,132,0.092341
"2019-08-11 09:31:52,669",38,7846,19.1,57,0.092123
"2019-08-11 09:31:57,362",39,8013,14.9,43,0.091955
"2019-08-11 09:32:02,100",40,8180,14.6,43,0.091787
"2019-08-11 09:32:06,826",41,8344,14.7,43,0.091622
"2019-08-11 09:32:15,490",42,8651,28.3,81,0.091315
"2019-08-11 09:32:23,004",43,8915,23.7,70,0.091050
"2019-08-11 09:32:29,445",44,9139,19.5,60,0.090825
"2019-08-11 09:32:34,213",45,9309,15.2,44,0.090654
"2019-08-11 09:32:40,718",46,9536,20.2,60,0.090427
"2019-08-11 09:32:48,934",47,9819,25.1,76,0.090143
"2019-08-11 09:32:56,203",48,10074,22.8,67,0.089887
"2019-08-11 09:33:02,117",49,10284,19.1,54,0.089676
"2019-08-11 09:33:06,830",50,10448,14.2,43,0.089511
"2019-08-11 09:33:15,282",51,10745,27.1,79,0.089214
"2019-08-11 09:33:21,348",52,10957,18.5,56,0.089001
"2019-08-11 09:33:26,160",53,11128,15.5,44,0.088829
"2019-08-11 09:33:30,902",54,11292,14.0,43,0.088664
"2019-08-11 09:33:37,213",55,11515,20.0,58,0.088441
"2019-08-11 09:33:41,963",56,11679,14.3,43,0.088276
"2019-08-11 09:33:51,951",57,12025,30.8,94,0.087929
"2019-08-11 09:33:59,695",58,12297,24.8,72,0.087656
"2019-08-11 09:34:08,447",59,12602,27.1,82,0.087351
"2019-08-11 09:34:18,061",60,12938,30.2,90,0.087014
"2019-08-11 09:34:28,917",61,13311,33.3,102,0.086640
"2019-08-11 09:34:34,655",62,13509,17.4,53,0.086442
"2019-08-11 09:34:39,347",63,13676,15.1,43,0.086274
"2019-08-11 09:34:46,305",64,13915,20.8,64,0.086034
"2019-08-11 09:34:53,909",65,14182,23.8,71,0.085766
"2019-08-11 09:35:00,320",66,14407,20.6,59,0.085540
"2019-08-11 09:35:06,038",67,14606,18.1,52,0.085341
"2019-08-11 09:35:15,318",68,14929,29.0,87,0.085017
"2019-08-11 09:35:21,957",69,15160,20.3,61,0.084785
"2019-08-11 09:35:27,852",70,15364,17.6,54,0.084580
"2019-08-11 09:35:34,473",71,15593,21.1,61,0.084351
"2019-08-11 09:35:39,238",72,15763,15.5,43,0.084180
"2019-08-11 09:35:44,891",73,15957,16.8,52,0.083985
"2019-08-11 09:35:54,717",74,16302,31.7,92,0.083639
"2019-08-11 09:35:59,512",75,16472,15.3,44,0.083469
"2019-08-11 09:36:04,554",76,16634,13.5,43,0.083306
"2019-08-11 09:36:11,304",77,16870,21.4,62,0.083069
"2019-08-11 09:36:17,092",78,17076,18.7,53,0.082862
"2019-08-11 09:36:28,195",79,17465,35.6,105,0.082473
"2019-08-11 09:36:34,770",80,17691,19.4,60,0.082246
"2019-08-11 09:36:39,493",81,17854,14.4,43,0.082082
"2019-08-11 09:36:48,804",82,18180,29.7,87,0.081755
"2019-08-11 09:37:01,103",83,18613,39.8,117,0.081322
"2019-08-11 09:37:05,843",84,18780,14.8,43,0.081154
"2019-08-11 09:37:20,644",85,19297,47.2,143,0.080636
"2019-08-11 09:37:30,302",86,19632,30.5,90,0.080301
"2019-08-11 09:37:37,065",87,19866,20.7,62,0.080066
"2019-08-11 09:37:43,313",88,20084,19.5,57,0.079847
"2019-08-11 09:37:53,608",89,20442,32.0,97,0.079489
"2019-08-11 09:38:00,247",90,20674,20.8,61,0.079256
"2019-08-11 09:38:12,776",91,21110,39.7,119,0.078819
"2019-08-11 09:38:23,550",92,21488,34.4,102,0.078441
"2019-08-11 09:38:37,021",93,21962,43.6,129,0.077966
"2019-08-11 09:38:43,824",94,22201,21.5,63,0.077726
"2019-08-11 09:38:51,249",95,22463,24.2,69,0.077464
"2019-08-11 09:38:56,956",96,22657,16.8,52,0.077269
"2019-08-11 09:39:09,037",97,23080,38.9,115,0.076845
"2019-08-11 09:39:25,423",98,23650,51.7,159,0.076275
"2019-08-11 09:39:34,588",99,23970,29.1,86,0.075954
"2019-08-11 09:39:42,109",100,24233,23.7,70,0.075690
"2019-08-11 09:39:49,083",101,24475,22.0,64,0.075448
"2019-08-11 09:39:57,585",102,24772,27.0,79,0.075150
"2019-08-11 09:40:02,451",103,24945,15.8,44,0.074976
"2019-08-11 09:40:11,083",104,25246,27.1,80,0.074674
"2019-08-11 09:40:15,819",105,25412,14.8,43,0.074508
"2019-08-11 09:40:36,110",106,26115,64.3,201,0.073804
"2019-08-11 09:40:43,018",107,26357,21.8,64,0.073561
"2019-08-11 09:40:47,746",108,26523,14.9,43,0.073395
"2019-08-11 09:40:53,801",109,26736,19.2,55,0.073181
"2019-08-11 09:40:58,598",110,26904,15.0,44,0.073012
