timestamp,episode,step,reward,score,epsilon
"2019-07-24 03:09:00,403",0,121,2.7,61,0.099878
"2019-07-24 03:09:06,082",1,300,15.0,52,0.099698
"2019-07-24 03:09:10,771",2,453,13.6,43,0.099544
"2019-07-24 03:09:16,172",3,630,15.9,49,0.099367
"2019-07-24 03:09:22,532",4,842,19.2,59,0.099154
"2019-07-24 03:09:27,221",5,996,13.5,43,0.098999
"2019-07-24 03:09:31,932",6,1155,14.6,43,0.098839
"2019-07-24 03:09:36,628",7,1307,13.1,43,0.098686
"2019-07-24 03:09:41,303",8,1459,13.1,43,0.098533
"2019-07-24 03:09:46,901",9,1642,16.2,51,0.098350
"2019-07-24 03:09:51,756",10,1795,13.3,44,0.098196
"2019-07-24 03:09:56,467",11,1944,13.0,43,0.098046
"2019-07-24 03:10:01,187",12,2099,13.8,43,0.097890
"2019-07-24 03:10:05,864",13,2236,12.3,43,0.097752
"2019-07-24 03:10:10,648",14,2371,11.7,44,0.097616
"2019-07-24 03:10:15,357",15,2520,13.2,43,0.097467
"2019-07-24 03:10:20,059",16,2671,13.3,43,0.097315
"2019-07-24 03:10:27,833",17,2925,22.9,72,0.097060
"2019-07-24 03:10:35,086",18,3163,21.3,67,0.096821
"2019-07-24 03:10:40,894",19,3353,16.9,53,0.096630
"2019-07-24 03:10:45,597",20,3505,13.3,43,0.096478
"2019-07-24 03:10:54,604",21,3800,26.9,84,0.096182
"2019-07-24 03:11:02,617",22,4065,24.3,75,0.095916
"2019-07-24 03:11:12,782",23,4401,30.6,95,0.095579
"2019-07-24 03:11:17,469",24,4557,13.7,43,0.095423
"2019-07-24 03:11:22,193",25,4712,13.5,43,0.095267
"2019-07-24 03:11:29,680",26,4956,21.6,69,0.095022
"2019-07-24 03:11:35,221",27,5140,16.5,51,0.094837
"2019-07-24 03:11:43,053",28,5402,24.0,73,0.094574
"2019-07-24 03:11:48,564",29,5585,16.3,50,0.094391
"2019-07-24 03:12:06,641",30,6182,54.5,177,0.093793
"2019-07-24 03:12:17,387",31,6537,32.4,101,0.093438
