timestamp,episode,step,reward,score,epsilon
"2019-08-06 00:41:36,807",0,159,14.2,56,0.099840
"2019-08-06 00:41:41,514",1,338,16.6,43,0.099660
"2019-08-06 00:41:46,207",2,517,16.1,43,0.099481
"2019-08-06 00:41:52,102",3,733,18.3,54,0.099264
"2019-08-06 00:41:59,475",4,1007,24.5,68,0.098989
"2019-08-06 00:42:05,412",5,1228,19.4,54,0.098767
"2019-08-06 00:42:10,147",6,1406,15.9,43,0.098588
"2019-08-06 00:42:22,084",7,1843,38.1,113,0.098151
"2019-08-06 00:42:28,560",8,2088,21.8,59,0.097905
"2019-08-06 00:42:36,125",9,2371,24.8,70,0.097621
"2019-08-06 00:42:43,314",10,2641,23.8,67,0.097351
"2019-08-06 00:42:48,733",11,2845,18.2,50,0.097146
"2019-08-06 00:42:54,371",12,3057,19.0,52,0.096933
"2019-08-06 00:42:59,120",13,3239,16.6,43,0.096750
"2019-08-06 00:43:05,481",14,3479,21.1,59,0.096509
"2019-08-06 00:43:10,207",15,3659,15.9,43,0.096329
"2019-08-06 00:43:14,908",16,3840,16.5,43,0.096147
"2019-08-06 00:43:20,606",17,4050,18.1,52,0.095936
"2019-08-06 00:43:29,209",18,4366,27.2,80,0.095619
"2019-08-06 00:43:37,875",19,4688,28.4,81,0.095297
"2019-08-06 00:43:42,584",20,4872,17.0,43,0.095112
"2019-08-06 00:43:47,267",21,5047,15.4,43,0.094936
"2019-08-06 00:43:51,970",22,5229,16.6,43,0.094753
"2019-08-06 00:43:57,692",23,5448,19.7,52,0.094533
"2019-08-06 00:44:02,396",24,5625,15.7,43,0.094356
"2019-08-06 00:44:10,292",25,5921,26.4,73,0.094059
"2019-08-06 00:44:16,910",26,6160,20.4,61,0.093819
"2019-08-06 00:44:24,125",27,6430,24.1,67,0.093548
"2019-08-06 00:44:28,864",28,6605,14.9,43,0.093373
"2019-08-06 00:44:33,674",29,6785,16.0,44,0.093192
"2019-08-06 00:44:38,349",30,6962,15.5,43,0.093014
"2019-08-06 00:44:43,891",31,7168,17.9,51,0.092807
"2019-08-06 00:44:51,805",32,7451,23.8,74,0.092523
"2019-08-06 00:44:56,553",33,7628,15.4,43,0.092346
"2019-08-06 00:45:01,347",34,7809,16.0,44,0.092164
"2019-08-06 00:45:06,839",35,8018,19.1,50,0.091954
"2019-08-06 00:45:13,658",36,8269,22.2,63,0.091702
"2019-08-06 00:45:18,379",37,8433,14.2,43,0.091537
"2019-08-06 00:45:24,663",38,8656,19.2,58,0.091314
"2019-08-06 00:45:37,501",39,9122,40.5,123,0.090847
"2019-08-06 00:45:48,417",40,9518,33.7,103,0.090451
"2019-08-06 00:45:55,761",41,9785,23.1,68,0.090183
"2019-08-06 00:46:04,274",42,10099,27.7,79,0.089868
"2019-08-06 00:46:10,882",43,10348,22.4,61,0.089618
"2019-08-06 00:46:15,722",44,10526,15.3,44,0.089440
"2019-08-06 00:46:22,057",45,10765,21.3,58,0.089200
"2019-08-06 00:46:28,656",46,11010,22.1,61,0.088954
"2019-08-06 00:46:35,832",47,11275,23.4,66,0.088688
"2019-08-06 00:46:45,564",48,11640,32.8,92,0.088323
"2019-08-06 00:46:50,285",49,11819,16.2,43,0.088143
"2019-08-06 00:46:58,793",50,12140,28.9,79,0.087821
"2019-08-06 00:47:03,570",51,12320,16.1,43,0.087640
"2019-08-06 00:47:11,246",52,12607,25.9,71,0.087353
"2019-08-06 00:47:16,710",53,12818,19.4,50,0.087141
"2019-08-06 00:47:21,480",54,13002,16.7,43,0.086956
"2019-08-06 00:47:26,246",55,13181,16.0,44,0.086776
"2019-08-06 00:47:30,989",56,13361,16.4,43,0.086595
"2019-08-06 00:47:35,683",57,13542,16.6,43,0.086414
"2019-08-06 00:47:42,470",58,13791,22.3,63,0.086164
"2019-08-06 00:48:13,154",59,14881,94.9,318,0.085074
"2019-08-06 00:48:21,393",60,15190,28.0,77,0.084764
"2019-08-06 00:48:34,510",61,15675,43.8,125,0.084279
"2019-08-06 00:48:40,281",62,15886,18.6,53,0.084067
"2019-08-06 00:48:45,025",63,16063,16.0,43,0.083889
"2019-08-06 00:48:56,838",64,16507,40.3,112,0.083445
"2019-08-06 00:49:04,144",65,16780,24.5,68,0.083171
"2019-08-06 00:49:08,861",66,16959,16.1,43,0.082991
"2019-08-06 00:49:24,508",67,17535,51.0,151,0.082415
"2019-08-06 00:49:29,296",68,17715,16.1,44,0.082234
"2019-08-06 00:49:34,070",69,17893,15.3,44,0.082055
"2019-08-06 00:49:40,988",70,18154,23.5,64,0.081793
"2019-08-06 00:49:46,765",71,18375,20.1,53,0.081571
"2019-08-06 00:49:54,412",72,18662,25.7,71,0.081284
"2019-08-06 00:49:59,105",73,18840,16.1,43,0.081105
"2019-08-06 00:50:06,590",74,19118,25.0,70,0.080826
"2019-08-06 00:50:16,054",75,19473,31.9,89,0.080471
"2019-08-06 00:50:29,721",76,19974,44.5,131,0.079969
"2019-08-06 00:50:35,483",77,20190,19.0,53,0.079752
"2019-08-06 00:50:40,186",78,20368,15.9,43,0.079573
"2019-08-06 00:50:46,709",79,20606,20.5,60,0.079335
"2019-08-06 00:50:55,456",80,20927,27.5,82,0.079013
"2019-08-06 00:51:01,852",81,21166,21.6,59,0.078773
"2019-08-06 00:51:15,558",82,21680,46.5,131,0.078259
"2019-08-06 00:51:24,848",83,22025,30.3,87,0.077913
"2019-08-06 00:51:39,518",84,22568,48.7,141,0.077370
"2019-08-06 00:51:49,059",85,22920,31.7,90,0.077017
"2019-08-06 00:51:53,798",86,23098,16.1,43,0.076838
"2019-08-06 00:52:02,768",87,23435,30.5,84,0.076501
"2019-08-06 00:52:12,704",88,23801,32.4,93,0.076134
"2019-08-06 00:52:19,156",89,24043,21.5,60,0.075891
"2019-08-06 00:52:29,970",90,24440,35.3,102,0.075494
"2019-08-06 00:52:36,763",91,24692,22.5,63,0.075241
"2019-08-06 00:52:46,822",92,25059,31.8,95,0.074873
"2019-08-06 00:52:52,880",93,25288,20.2,56,0.074643
"2019-08-06 00:53:01,750",94,25619,30.0,83,0.074312
"2019-08-06 00:53:12,473",95,26012,33.8,101,0.073918
"2019-08-06 00:53:22,311",96,26378,32.7,92,0.073551
"2019-08-06 00:53:27,010",97,26553,15.1,43,0.073376
"2019-08-06 00:53:43,029",98,27148,53.6,155,0.072780
"2019-08-06 00:54:10,096",99,28139,87.3,276,0.071789
"2019-08-06 00:54:18,242",100,28451,28.7,76,0.071477
"2019-08-06 00:54:26,240",101,28748,26.6,74,0.071179
"2019-08-06 00:54:30,973",102,28926,16.1,43,0.071000
"2019-08-06 00:54:41,486",103,29311,33.5,99,0.070614
"2019-08-06 00:54:46,185",104,29489,16.2,43,0.070436
"2019-08-06 00:54:51,610",105,29698,19.2,50,0.070226
"2019-08-06 00:54:59,209",106,29982,25.6,71,0.069941
"2019-08-06 00:55:03,988",107,30160,15.8,44,0.069762
"2019-08-06 00:55:09,660",108,30368,18.2,52,0.069553
"2019-08-06 00:55:22,524",109,30841,41.7,123,0.069080
"2019-08-06 00:55:27,282",110,31021,16.0,43,0.068899
"2019-08-06 00:55:35,590",111,31330,27.9,77,0.068589
"2019-08-06 00:55:41,422",112,31547,19.1,54,0.068372
"2019-08-06 00:55:49,375",113,31842,26.4,74,0.068076
"2019-08-06 00:56:01,208",114,32281,38.9,112,0.067636
"2019-08-06 00:56:11,806",115,32676,35.6,100,0.067241
"2019-08-06 00:56:36,516",116,33566,77.6,249,0.066351
"2019-08-06 00:56:44,455",117,33857,25.1,74,0.066059
"2019-08-06 00:56:59,073",118,34396,47.5,141,0.065520
"2019-08-06 00:57:11,136",119,34839,39.1,115,0.065076
"2019-08-06 00:57:19,635",120,35149,26.7,79,0.064765
"2019-08-06 00:57:25,615",121,35370,19.9,55,0.064543
"2019-08-06 00:57:45,602",122,36086,62.9,197,0.063827
"2019-08-06 00:58:03,329",123,36741,59.0,173,0.063172
"2019-08-06 00:58:12,453",124,37084,31.3,86,0.062828
"2019-08-06 00:58:17,261",125,37257,15.3,44,0.062654
"2019-08-06 00:58:23,338",126,37476,19.8,55,0.062435
"2019-08-06 00:58:35,307",127,37920,39.7,114,0.061990
"2019-08-06 00:58:57,972",128,38754,73.6,227,0.061156
"2019-08-06 00:59:08,758",129,39161,36.8,102,0.060748
"2019-08-06 00:59:15,601",130,39423,23.9,63,0.060486
"2019-08-06 00:59:20,373",131,39604,16.5,43,0.060304
"2019-08-06 00:59:25,118",132,39780,15.1,43,0.060127
"2019-08-06 00:59:31,634",133,40022,21.0,60,0.059884
"2019-08-06 00:59:37,365",134,40238,18.9,53,0.059667
"2019-08-06 00:59:57,936",135,40994,67.2,204,0.058911
"2019-08-06 01:00:03,827",136,41216,20.0,54,0.058688
"2019-08-06 01:00:24,118",137,41975,68.4,201,0.057929
"2019-08-06 01:00:32,588",138,42298,29.4,79,0.057605
"2019-08-06 01:00:37,313",139,42477,16.0,43,0.057426
"2019-08-06 01:00:43,721",140,42718,21.5,59,0.057184
"2019-08-06 01:00:56,707",141,43204,44.1,124,0.056697
"2019-08-06 01:01:02,453",142,43424,20.1,53,0.056477
"2019-08-06 01:01:07,181",143,43607,17.1,43,0.056293
"2019-08-06 01:01:15,026",144,43906,27.3,73,0.055993
"2019-08-06 01:01:27,274",145,44363,41.2,117,0.055536
"2019-08-06 01:01:33,166",146,44581,19.5,54,0.055317
"2019-08-06 01:01:55,691",147,45407,74.3,225,0.054491
"2019-08-06 01:02:14,609",148,46113,63.8,186,0.053784
"2019-08-06 01:02:21,394",149,46372,23.5,63,0.053525
"2019-08-06 01:02:30,253",150,46695,29.2,83,0.053201
"2019-08-06 01:02:37,144",151,46938,22.1,64,0.052957
"2019-08-06 01:02:46,817",152,47294,31.9,91,0.052600
"2019-08-06 01:03:03,404",153,47917,56.1,161,0.051977
"2019-08-06 01:03:08,092",154,48100,16.8,43,0.051793
